Comprehensive Sequence Comparison Table
==================================================

+---------+-------+--------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % |  MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+--------+------+--------+-------------+------------+-------------+
|  Gen 1  | 54.55 | -40.20 | 0.59 |  0.80  |      18     |   81.82    |      0      |
|  Gen 2  | 58.59 | -35.40 | 0.50 |  0.76  |      27     |   72.73    |      0      |
|  Gen 3  | 57.58 | -33.70 | 0.56 |  0.76  |      25     |   74.75    |      0      |
|  Gen 4  | 52.53 | -37.70 | 0.56 |  0.74  |      24     |   74.75    |      0      |
|  Gen 5  | 53.54 | -31.90 | 0.65 |  0.73  |      27     |   72.73    |      0      |
|  Gen 6  | 52.53 | -32.23 | 0.66 |  0.73  |      28     |   70.71    |      0      |
|  Gen 7  | 51.52 | -34.80 | 0.61 |  0.73  |      23     |   76.77    |      0      |
|  Gen 8  | 49.49 | -39.90 | 0.52 |  0.71  |      27     |   72.73    |      0      |
|  Gen 9  | 51.52 | -39.70 | 0.46 |  0.71  |      21     |   78.79    |      0      |
|  Gen 10 | 48.48 | -37.60 | 0.58 |  0.71  |      22     |   77.78    |      0      |
|  Gen 11 | 51.52 | -32.60 | 0.60 |  0.70  |      25     |   74.75    |      0      |
|  Gen 12 | 51.52 | -39.60 | 0.44 |  0.70  |      28     |   71.72    |      0      |
|  Gen 13 | 50.51 | -36.10 | 0.52 |  0.69  |      27     |   72.73    |      0      |
|  Gen 14 | 54.55 | -31.30 | 0.53 |  0.69  |      23     |   75.76    |      0      |
|  Gen 15 | 49.49 | -34.50 | 0.58 |  0.69  |      20     |   79.80    |      0      |
|  Gen 16 | 55.56 | -25.90 | 0.62 |  0.69  |      27     |   72.73    |      0      |
|  Gen 17 | 53.54 | -31.30 | 0.55 |  0.69  |      26     |   73.74    |      0      |
|  Gen 18 | 51.52 | -33.30 | 0.55 |  0.69  |      24     |   73.74    |      0      |
|  Gen 19 | 50.51 | -35.30 | 0.53 |  0.69  |      22     |   77.78    |      0      |
|  Gen 20 | 50.51 | -31.70 | 0.61 |  0.69  |      29     |   70.71    |      0      |
|  Gen 21 | 49.49 | -34.50 | 0.57 |  0.68  |      25     |   74.75    |      0      |
|  Gen 22 | 51.52 | -35.50 | 0.49 |  0.68  |      21     |   78.79    |      0      |
|  Gen 23 | 52.53 | -27.50 | 0.64 |  0.68  |      29     |   70.71    |      0      |
|  Gen 24 | 53.54 | -32.77 | 0.49 |  0.68  |      18     |   81.82    |      0      |
|  Gen 25 | 52.53 | -30.80 | 0.56 |  0.68  |      19     |   80.81    |      0      |
|  Gen 26 | 51.52 | -31.60 | 0.55 |  0.67  |      28     |   70.71    |      0      |
|  Gen 27 | 49.49 | -36.70 | 0.48 |  0.67  |      24     |   74.75    |      0      |
|  Gen 28 | 52.53 | -30.10 | 0.55 |  0.67  |      21     |   78.79    |      0      |
|  Gen 29 | 50.51 | -33.40 | 0.52 |  0.67  |      23     |   76.77    |      0      |
|  Gen 30 | 52.53 | -28.40 | 0.58 |  0.67  |      20     |   78.79    |      0      |
|  Gen 31 | 50.51 | -33.10 | 0.53 |  0.67  |      29     |   70.71    |      0      |
|  Gen 32 | 51.52 | -31.10 | 0.54 |  0.66  |      24     |   75.76    |      0      |
|  Gen 33 | 53.54 | -25.50 | 0.61 |  0.66  |      24     |   74.75    |      0      |
|  Gen 34 | 49.49 | -30.50 | 0.60 |  0.66  |      24     |   75.76    |      0      |
|  Gen 35 | 51.52 | -29.70 | 0.57 |  0.66  |      25     |   74.75    |      0      |
|  Gen 36 | 53.54 | -23.23 | 0.66 |  0.66  |      17     |   82.83    |      0      |
|  Gen 37 | 50.51 | -33.73 | 0.49 |  0.66  |      27     |   70.71    |      0      |
|  Gen 38 | 52.53 | -27.33 | 0.58 |  0.66  |      22     |   77.78    |      0      |
|  Gen 39 | 50.51 | -29.40 | 0.59 |  0.66  |      20     |   79.80    |      0      |
|  Gen 40 | 52.53 | -30.90 | 0.50 |  0.66  |      28     |   71.72    |      0      |
|  Gen 41 | 53.54 | -31.80 | 0.45 |  0.65  |      23     |   75.76    |      0      |
|  Gen 42 | 51.52 | -30.60 | 0.52 |  0.65  |      26     |   71.72    |      0      |
|  Gen 43 | 52.53 | -32.10 | 0.46 |  0.65  |      22     |   77.78    |      0      |
|  Gen 44 | 53.54 | -27.90 | 0.53 |  0.65  |      24     |   75.76    |      0      |
|  Gen 45 | 50.51 | -28.70 | 0.58 |  0.65  |      26     |   73.74    |      0      |
|  Gen 46 | 53.54 | -30.10 | 0.48 |  0.65  |      24     |   74.75    |      0      |
|  Gen 47 | 50.51 | -31.80 | 0.51 |  0.65  |      26     |   73.74    |      0      |
|  Gen 48 | 49.49 | -33.10 | 0.50 |  0.65  |      25     |   74.75    |      0      |
|  Gen 49 | 49.49 | -32.20 | 0.52 |  0.65  |      25     |   74.75    |      0      |
|  Gen 50 | 52.53 | -31.67 | 0.46 |  0.65  |      28     |   69.70    |      0      |
| Best GC | 50.51 | -23.60 | 0.68 |  0.64  |      30     |   69.70    |      0      |
| Natural | 50.51 | -32.30 | 0.59 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+--------+------+--------+-------------+------------+-------------+
