Comprehensive Sequence Comparison Table
==================================================

+---------+-------+--------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % |  MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+--------+------+--------+-------------+------------+-------------+
|  Gen 1  | 47.56 | -57.20 | 0.49 |  1.68  |      52     |   76.89    |      0      |
|  Gen 2  | 48.89 | -63.57 | 0.52 |  1.65  |      54     |   76.00    |      0      |
|  Gen 3  | 47.11 | -72.10 | 0.58 |  1.63  |      45     |   79.56    |      0      |
|  Gen 4  | 44.89 | -59.87 | 0.48 |  1.63  |      52     |   76.89    |      0      |
|  Gen 5  | 48.00 | -62.93 | 0.50 |  1.62  |      44     |   80.44    |      0      |
|  Gen 6  | 47.56 | -63.10 | 0.50 |  1.62  |      57     |   74.67    |      0      |
|  Gen 7  | 51.56 | -68.70 | 0.54 |  1.61  |      48     |   78.22    |      0      |
|  Gen 8  | 51.11 | -70.80 | 0.56 |  1.61  |      47     |   79.11    |      0      |
|  Gen 9  | 51.56 | -72.60 | 0.57 |  1.60  |      52     |   76.89    |      0      |
|  Gen 10 | 47.11 | -65.40 | 0.51 |  1.60  |      50     |   77.78    |      0      |
|  Gen 11 | 50.67 | -70.30 | 0.55 |  1.60  |      48     |   78.67    |      0      |
|  Gen 12 | 48.89 | -70.50 | 0.55 |  1.59  |      52     |   76.44    |      0      |
|  Gen 13 | 47.11 | -65.37 | 0.51 |  1.59  |      41     |   81.78    |      0      |
|  Gen 14 | 48.00 | -69.83 | 0.54 |  1.59  |      48     |   78.67    |      0      |
|  Gen 15 | 48.89 | -66.40 | 0.51 |  1.58  |      54     |   76.00    |      0      |
|  Gen 16 | 48.89 | -71.70 | 0.55 |  1.58  |      57     |   73.78    |      0      |
|  Gen 17 | 47.56 | -71.17 | 0.54 |  1.58  |      53     |   76.44    |      0      |
|  Gen 18 | 46.67 | -65.97 | 0.50 |  1.57  |      57     |   74.67    |      0      |
|  Gen 19 | 53.33 | -76.20 | 0.58 |  1.57  |      58     |   73.78    |      0      |
|  Gen 20 | 49.33 | -62.30 | 0.47 |  1.57  |      50     |   77.78    |      0      |
|  Gen 21 | 47.56 | -65.70 | 0.49 |  1.56  |      53     |   76.44    |      0      |
|  Gen 22 | 47.11 | -73.20 | 0.55 |  1.56  |      46     |   79.56    |      0      |
|  Gen 23 | 52.00 | -72.93 | 0.55 |  1.56  |      56     |   74.67    |      0      |
|  Gen 24 | 46.67 | -66.10 | 0.49 |  1.55  |      48     |   78.67    |      0      |
|  Gen 25 | 49.78 | -69.03 | 0.51 |  1.55  |      59     |   73.33    |      0      |
|  Gen 26 | 48.00 | -67.17 | 0.50 |  1.55  |      48     |   78.67    |      0      |
|  Gen 27 | 47.11 | -61.97 | 0.46 |  1.55  |      54     |   76.00    |      0      |
|  Gen 28 | 51.11 | -71.87 | 0.53 |  1.54  |      60     |   72.89    |      0      |
|  Gen 29 | 51.56 | -76.70 | 0.57 |  1.54  |      51     |   76.89    |      0      |
|  Gen 30 | 49.78 | -74.27 | 0.55 |  1.54  |      51     |   77.33    |      0      |
|  Gen 31 | 48.44 | -66.23 | 0.49 |  1.53  |      64     |   71.11    |      0      |
|  Gen 32 | 51.11 | -76.20 | 0.56 |  1.53  |      51     |   77.33    |      0      |
|  Gen 33 | 47.56 | -59.70 | 0.44 |  1.53  |      50     |   77.78    |      0      |
|  Gen 34 | 46.22 | -67.80 | 0.50 |  1.53  |      43     |   80.89    |      0      |
|  Gen 35 | 49.33 | -71.50 | 0.52 |  1.53  |      56     |   75.11    |      0      |
|  Gen 36 | 50.67 | -73.30 | 0.54 |  1.53  |      46     |   79.11    |      0      |
|  Gen 37 | 48.89 | -67.63 | 0.49 |  1.52  |      45     |   80.00    |      0      |
|  Gen 38 | 49.78 | -71.80 | 0.52 |  1.52  |      51     |   77.33    |      0      |
|  Gen 39 | 49.78 | -74.10 | 0.54 |  1.52  |      46     |   79.56    |      0      |
|  Gen 40 | 50.22 | -82.80 | 0.60 |  1.52  |      45     |   79.56    |      0      |
|  Gen 41 | 51.56 | -76.67 | 0.56 |  1.52  |      58     |   74.22    |      0      |
|  Gen 42 | 50.22 | -73.33 | 0.53 |  1.52  |      49     |   78.22    |      0      |
|  Gen 43 | 50.67 | -73.80 | 0.54 |  1.52  |      57     |   74.67    |      0      |
|  Gen 44 | 46.67 | -61.73 | 0.44 |  1.52  |      55     |   75.56    |      0      |
|  Gen 45 | 49.33 | -70.73 | 0.51 |  1.51  |      56     |   74.67    |      0      |
|  Gen 46 | 50.22 | -71.97 | 0.52 |  1.51  |      51     |   77.33    |      0      |
|  Gen 47 | 50.22 | -71.63 | 0.51 |  1.51  |      55     |   75.11    |      0      |
|  Gen 48 | 50.22 | -77.23 | 0.56 |  1.51  |      54     |   76.00    |      0      |
|  Gen 49 | 43.56 | -63.00 | 0.45 |  1.50  |      41     |   81.78    |      0      |
|  Gen 50 | 51.11 | -74.33 | 0.53 |  1.50  |      52     |   76.89    |      0      |
| Best GC | 50.67 | -85.83 | 0.52 |  1.30  |      47     |   79.11    |      0      |
| Natural | 45.33 | -68.20 | 0.54 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+--------+------+--------+-------------+------------+-------------+
