Comprehensive Sequence Comparison Table
==================================================

+---------+-------+--------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % |  MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+--------+------+--------+-------------+------------+-------------+
|  Gen 1  | 55.56 | -40.30 | 0.53 |  0.78  |      28     |   70.71    |      0      |
|  Gen 2  | 51.52 | -40.20 | 0.58 |  0.76  |      22     |   76.77    |      0      |
|  Gen 3  | 48.48 | -44.53 | 0.55 |  0.76  |      29     |   70.71    |      0      |
|  Gen 4  | 53.54 | -37.30 | 0.58 |  0.76  |      23     |   76.77    |      0      |
|  Gen 5  | 54.55 | -34.70 | 0.56 |  0.73  |      26     |   73.74    |      0      |
|  Gen 6  | 50.51 | -34.10 | 0.64 |  0.72  |      19     |   80.81    |      0      |
|  Gen 7  | 50.51 | -37.00 | 0.56 |  0.72  |      28     |   71.72    |      0      |
|  Gen 8  | 52.53 | -34.00 | 0.57 |  0.71  |      27     |   72.73    |      0      |
|  Gen 9  | 52.53 | -31.10 | 0.63 |  0.71  |      22     |   77.78    |      0      |
|  Gen 10 | 52.53 | -33.30 | 0.58 |  0.71  |      21     |   78.79    |      0      |
|  Gen 11 | 51.52 | -32.10 | 0.62 |  0.71  |      25     |   74.75    |      0      |
|  Gen 12 | 52.53 | -31.60 | 0.59 |  0.70  |      29     |   70.71    |      0      |
|  Gen 13 | 51.52 | -34.30 | 0.56 |  0.70  |      26     |   73.74    |      0      |
|  Gen 14 | 52.53 | -33.37 | 0.55 |  0.70  |      25     |   72.73    |      0      |
|  Gen 15 | 52.53 | -35.13 | 0.49 |  0.69  |      30     |   68.69    |      0      |
|  Gen 16 | 49.49 | -36.07 | 0.55 |  0.69  |      27     |   72.73    |      0      |
|  Gen 17 | 54.55 | -29.90 | 0.55 |  0.69  |      26     |   71.72    |      0      |
|  Gen 18 | 48.48 | -34.30 | 0.60 |  0.69  |      20     |   79.80    |      0      |
|  Gen 19 | 48.48 | -32.30 | 0.64 |  0.68  |      24     |   75.76    |      0      |
|  Gen 20 | 55.56 | -24.00 | 0.65 |  0.68  |      31     |   68.69    |      0      |
|  Gen 21 | 51.52 | -32.30 | 0.55 |  0.68  |      25     |   74.75    |      0      |
|  Gen 22 | 51.52 | -27.90 | 0.65 |  0.68  |      26     |   73.74    |      0      |
|  Gen 23 | 50.51 | -27.70 | 0.68 |  0.68  |      26     |   73.74    |      0      |
|  Gen 24 | 53.54 | -28.60 | 0.58 |  0.68  |      21     |   77.78    |      0      |
|  Gen 25 | 54.55 | -33.50 | 0.44 |  0.67  |      30     |   68.69    |      0      |
|  Gen 26 | 49.49 | -31.30 | 0.61 |  0.67  |      21     |   78.79    |      0      |
|  Gen 27 | 51.52 | -37.00 | 0.43 |  0.67  |      24     |   75.76    |      0      |
|  Gen 28 | 51.52 | -34.30 | 0.48 |  0.67  |      22     |   77.78    |      0      |
|  Gen 29 | 52.53 | -32.33 | 0.50 |  0.67  |      23     |   76.77    |      0      |
|  Gen 30 | 52.53 | -29.90 | 0.54 |  0.66  |      25     |   74.75    |      0      |
|  Gen 31 | 47.47 | -35.80 | 0.54 |  0.66  |      31     |   68.69    |      0      |
|  Gen 32 | 49.49 | -32.30 | 0.56 |  0.66  |      24     |   75.76    |      0      |
|  Gen 33 | 50.51 | -30.00 | 0.59 |  0.66  |      23     |   76.77    |      0      |
|  Gen 34 | 50.51 | -36.00 | 0.45 |  0.66  |      28     |   71.72    |      0      |
|  Gen 35 | 53.54 | -29.10 | 0.52 |  0.66  |      27     |   72.73    |      0      |
|  Gen 36 | 50.51 | -35.30 | 0.46 |  0.66  |      26     |   72.73    |      0      |
|  Gen 37 | 49.49 | -31.10 | 0.55 |  0.65  |      27     |   72.73    |      0      |
|  Gen 38 | 48.48 | -30.70 | 0.58 |  0.65  |      23     |   76.77    |      0      |
|  Gen 39 | 52.53 | -26.10 | 0.59 |  0.65  |      30     |   69.70    |      0      |
|  Gen 40 | 50.51 | -28.70 | 0.57 |  0.64  |      26     |   73.74    |      0      |
|  Gen 41 | 50.51 | -28.50 | 0.57 |  0.64  |      21     |   78.79    |      0      |
|  Gen 42 | 48.48 | -38.50 | 0.39 |  0.64  |      27     |   71.72    |      0      |
|  Gen 43 | 48.48 | -30.90 | 0.57 |  0.64  |      30     |   69.70    |      0      |
|  Gen 44 | 49.49 | -31.00 | 0.53 |  0.64  |      25     |   74.75    |      0      |
|  Gen 45 | 49.49 | -30.10 | 0.55 |  0.64  |      30     |   69.70    |      0      |
|  Gen 46 | 50.51 | -30.00 | 0.53 |  0.64  |      28     |   69.70    |      0      |
|  Gen 47 | 47.47 | -28.60 | 0.64 |  0.64  |      25     |   74.75    |      0      |
|  Gen 48 | 50.51 | -33.20 | 0.45 |  0.64  |      22     |   74.75    |      0      |
|  Gen 49 | 48.48 | -36.40 | 0.42 |  0.64  |      24     |   75.76    |      0      |
|  Gen 50 | 48.48 | -34.47 | 0.47 |  0.63  |      24     |   74.75    |      0      |
| Natural | 50.51 | -32.30 | 0.59 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+--------+------+--------+-------------+------------+-------------+
