+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 52.00 | -87.03 | 0.63 |      54     |   76.00    |
|  Gen 2   | 53.33 | -84.50 | 0.62 |      48     |   78.67    |
|  Gen 3   | 51.56 | -87.70 | 0.62 |      53     |   76.00    |
|  Gen 4   | 53.33 | -84.43 | 0.62 |      54     |   76.00    |
|  Gen 5   | 50.67 | -78.53 | 0.61 |      49     |   78.22    |
|  Gen 6   | 54.67 | -82.90 | 0.60 |      53     |   76.44    |
|  Gen 7   | 52.89 | -81.23 | 0.60 |      53     |   76.00    |
|  Gen 8   | 51.11 | -89.20 | 0.59 |      54     |   75.56    |
|  Gen 9   | 51.56 | -84.37 | 0.59 |      52     |   76.89    |
|  Gen 10  | 51.11 | -80.20 | 0.60 |      54     |   76.00    |
|  Gen 11  | 50.67 | -77.70 | 0.60 |      44     |   80.44    |
|  Gen 12  | 51.56 | -80.23 | 0.59 |      45     |   80.00    |
|  Gen 13  | 52.89 | -77.30 | 0.59 |      53     |   76.44    |
|  Gen 14  | 51.11 | -72.77 | 0.60 |      57     |   74.67    |
|  Gen 15  | 49.33 | -78.13 | 0.59 |      55     |   75.11    |
|  Gen 16  | 51.11 | -77.63 | 0.59 |      57     |   74.67    |
|  Gen 17  | 51.11 | -74.40 | 0.59 |      61     |   72.89    |
|  Gen 18  | 50.22 | -79.77 | 0.58 |      52     |   76.44    |
|  Gen 19  | 49.78 | -71.63 | 0.59 |      51     |   77.33    |
|  Gen 20  | 49.78 | -78.40 | 0.58 |      55     |   75.56    |
|  Gen 21  | 49.78 | -81.43 | 0.57 |      56     |   75.11    |
|  Gen 22  | 50.67 | -68.90 | 0.58 |      54     |   76.00    |
|  Gen 23  | 50.67 | -70.37 | 0.58 |      53     |   76.44    |
|  Gen 24  | 48.89 | -71.30 | 0.58 |      54     |   76.00    |
|  Gen 25  | 50.67 | -67.07 | 0.59 |      51     |   76.89    |
|  Gen 26  | 52.44 | -77.17 | 0.57 |      45     |   80.00    |
|  Gen 27  | 50.22 | -78.40 | 0.56 |      45     |   80.00    |
|  Gen 28  | 51.11 | -81.20 | 0.56 |      55     |   75.11    |
|  Gen 29  | 49.33 | -74.40 | 0.57 |      46     |   79.56    |
|  Gen 30  | 52.44 | -85.10 | 0.55 |      46     |   79.56    |
|  Gen 31  | 51.56 | -76.07 | 0.56 |      51     |   77.33    |
|  Gen 32  | 50.67 | -73.57 | 0.56 |      50     |   77.78    |
|  Gen 33  | 50.22 | -71.80 | 0.56 |      53     |   76.44    |
|  Gen 34  | 49.78 | -77.00 | 0.56 |      43     |   80.89    |
|  Gen 35  | 51.56 | -77.60 | 0.55 |      54     |   75.56    |
|  Gen 36  | 50.67 | -71.93 | 0.56 |      52     |   76.89    |
|  Gen 37  | 48.89 | -74.70 | 0.55 |      44     |   80.00    |
|  Gen 38  | 50.67 | -75.50 | 0.55 |      53     |   76.00    |
|  Gen 39  | 51.11 | -74.50 | 0.55 |      48     |   78.22    |
|  Gen 40  | 49.78 | -68.10 | 0.56 |      50     |   77.78    |
|  Gen 41  | 49.78 | -75.70 | 0.55 |      48     |   78.22    |
|  Gen 42  | 50.22 | -76.50 | 0.54 |      53     |   76.00    |
|  Gen 43  | 49.33 | -71.60 | 0.55 |      57     |   74.67    |
|  Gen 44  | 51.11 | -63.10 | 0.56 |      52     |   76.89    |
|  Gen 45  | 50.67 | -69.70 | 0.55 |      52     |   76.89    |
|  Gen 46  | 48.44 | -67.80 | 0.55 |      56     |   74.22    |
|  Gen 47  | 49.33 | -71.13 | 0.55 |      54     |   76.00    |
|  Gen 48  | 50.22 | -76.30 | 0.54 |      51     |   76.89    |
|  Gen 49  | 48.44 | -67.90 | 0.55 |      54     |   76.00    |
|  Gen 50  | 47.56 | -81.90 | 0.53 |      50     |   77.78    |
| Best GC  | 54.67 | -82.90 | 0.60 |      53     |   76.44    |
| Best MFE | 51.11 | -89.20 | 0.59 |      54     |   75.56    |
| Best CAI | 52.00 | -87.03 | 0.63 |      54     |   76.00    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
