+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 47.11 | -59.90 | 0.50 |      54     |   76.00    |
|  Gen 2   | 48.44 | -60.40 | 0.50 |      51     |   77.33    |
|  Gen 3   | 48.89 | -63.57 | 0.52 |      54     |   76.00    |
|  Gen 4   | 47.56 | -71.90 | 0.59 |      48     |   78.67    |
|  Gen 5   | 44.89 | -59.87 | 0.48 |      52     |   76.89    |
|  Gen 6   | 47.56 | -65.30 | 0.52 |      48     |   78.67    |
|  Gen 7   | 45.78 | -62.70 | 0.49 |      46     |   79.56    |
|  Gen 8   | 50.22 | -73.73 | 0.57 |      54     |   76.00    |
|  Gen 9   | 48.00 | -71.37 | 0.55 |      54     |   76.00    |
|  Gen 10  | 48.00 | -69.83 | 0.54 |      48     |   78.67    |
|  Gen 11  | 50.67 | -64.00 | 0.49 |      53     |   76.44    |
|  Gen 12  | 51.56 | -75.10 | 0.58 |      58     |   74.22    |
|  Gen 13  | 48.89 | -71.70 | 0.55 |      57     |   73.78    |
|  Gen 14  | 53.78 | -76.40 | 0.58 |      58     |   74.22    |
|  Gen 15  | 48.89 | -68.30 | 0.52 |      53     |   76.44    |
|  Gen 16  | 50.67 | -72.10 | 0.55 |      46     |   79.56    |
|  Gen 17  | 48.00 | -64.90 | 0.49 |      55     |   75.11    |
|  Gen 18  | 51.11 | -70.90 | 0.54 |      46     |   79.11    |
|  Gen 19  | 50.67 | -71.20 | 0.54 |      54     |   76.00    |
|  Gen 20  | 50.67 | -82.17 | 0.62 |      45     |   79.56    |
|  Gen 21  | 52.00 | -72.93 | 0.55 |      56     |   74.67    |
|  Gen 22  | 47.56 | -75.00 | 0.56 |      47     |   79.11    |
|  Gen 23  | 49.78 | -68.20 | 0.51 |      54     |   75.56    |
|  Gen 24  | 48.00 | -67.17 | 0.50 |      48     |   78.67    |
|  Gen 25  | 47.56 | -62.97 | 0.47 |      53     |   76.44    |
|  Gen 26  | 52.00 | -76.70 | 0.57 |      50     |   77.33    |
|  Gen 27  | 48.89 | -73.30 | 0.54 |      54     |   75.56    |
|  Gen 28  | 47.56 | -63.10 | 0.47 |      54     |   76.00    |
|  Gen 29  | 48.89 | -71.63 | 0.53 |      49     |   77.78    |
|  Gen 30  | 50.67 | -70.97 | 0.52 |      59     |   73.33    |
|  Gen 31  | 51.11 | -74.90 | 0.55 |      52     |   76.89    |
|  Gen 32  | 51.11 | -76.20 | 0.56 |      51     |   77.33    |
|  Gen 33  | 46.22 | -67.80 | 0.50 |      43     |   80.89    |
|  Gen 34  | 47.11 | -70.37 | 0.52 |      57     |   74.67    |
|  Gen 35  | 50.67 | -73.30 | 0.54 |      46     |   79.11    |
|  Gen 36  | 47.56 | -70.33 | 0.51 |      43     |   80.44    |
|  Gen 37  | 48.89 | -71.70 | 0.52 |      51     |   77.33    |
|  Gen 38  | 46.22 | -70.47 | 0.51 |      52     |   76.44    |
|  Gen 39  | 49.33 | -69.10 | 0.50 |      54     |   76.00    |
|  Gen 40  | 49.78 | -73.33 | 0.53 |      48     |   78.67    |
|  Gen 41  | 51.11 | -74.90 | 0.54 |      49     |   78.22    |
|  Gen 42  | 48.89 | -72.20 | 0.52 |      47     |   78.67    |
|  Gen 43  | 50.22 | -76.50 | 0.55 |      48     |   78.67    |
|  Gen 44  | 46.67 | -70.33 | 0.50 |      45     |   80.00    |
|  Gen 45  | 47.56 | -74.70 | 0.53 |      46     |   79.11    |
|  Gen 46  | 50.67 | -75.83 | 0.54 |      44     |   80.00    |
|  Gen 47  | 48.44 | -70.40 | 0.50 |      46     |   79.11    |
|  Gen 48  | 49.78 | -72.90 | 0.52 |      57     |   74.22    |
|  Gen 49  | 48.89 | -69.03 | 0.49 |      64     |   71.11    |
|  Gen 50  | 47.11 | -68.73 | 0.49 |      51     |   77.33    |
| Best GC  | 53.78 | -89.77 | 0.56 |      52     |   76.89    |
| Best MFE | 53.78 | -89.77 | 0.56 |      52     |   76.89    |
| Best CAI | 50.67 | -82.17 | 0.62 |      45     |   79.56    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
