+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 75.33 |  -79.50 | 0.60 |     729     |   34.00    |
|  Gen 2   | 70.67 |  -61.50 | 0.40 |     729     |   33.33    |
|  Gen 3   | 68.67 |  -74.40 | 0.50 |     729     |   30.00    |
|  Gen 4   | 74.00 |  -81.20 | 0.55 |     729     |   35.33    |
|  Gen 5   | 75.33 |  -69.60 | 0.46 |     729     |   34.67    |
|  Gen 6   | 74.00 |  -78.33 | 0.52 |     729     |   29.33    |
|  Gen 7   | 73.33 |  -76.73 | 0.50 |     729     |   33.33    |
|  Gen 8   | 76.67 |  -72.80 | 0.47 |     729     |   32.00    |
|  Gen 9   | 72.67 |  -75.80 | 0.49 |     729     |   36.00    |
|  Gen 10  | 70.67 |  -70.23 | 0.44 |     729     |   32.00    |
|  Gen 11  | 73.33 |  -77.07 | 0.49 |     729     |   34.00    |
|  Gen 12  | 71.33 |  -70.00 | 0.44 |     729     |   30.67    |
|  Gen 13  | 74.67 |  -81.80 | 0.53 |     729     |   34.67    |
|  Gen 14  | 74.67 |  -83.33 | 0.53 |     729     |   35.33    |
|  Gen 15  | 72.67 |  -79.33 | 0.50 |     729     |   32.67    |
|  Gen 16  | 68.00 |  -73.80 | 0.46 |     729     |   32.00    |
|  Gen 17  | 75.33 |  -71.30 | 0.44 |     729     |   32.67    |
|  Gen 18  | 70.67 |  -72.43 | 0.44 |     729     |   32.00    |
|  Gen 19  | 72.00 |  -63.33 | 0.37 |     729     |   32.67    |
|  Gen 20  | 72.67 |  -79.67 | 0.49 |     729     |   33.33    |
|  Gen 21  | 72.67 |  -81.00 | 0.50 |     729     |   32.00    |
|  Gen 22  | 72.67 |  -73.77 | 0.45 |     729     |   36.67    |
|  Gen 23  | 78.67 |  -90.23 | 0.57 |     729     |   34.67    |
|  Gen 24  | 75.33 |  -74.53 | 0.45 |     729     |   30.67    |
|  Gen 25  | 72.00 |  -70.50 | 0.42 |     729     |   34.00    |
|  Gen 26  | 74.67 |  -79.63 | 0.48 |     729     |   33.33    |
|  Gen 27  | 73.33 |  -83.80 | 0.51 |     729     |   30.67    |
|  Gen 28  | 72.00 |  -63.40 | 0.36 |     729     |   32.00    |
|  Gen 29  | 77.33 |  -90.40 | 0.56 |     729     |   33.33    |
|  Gen 30  | 72.67 |  -71.50 | 0.42 |     729     |   34.67    |
|  Gen 31  | 70.67 |  -83.83 | 0.51 |     729     |   34.00    |
|  Gen 32  | 73.33 |  -74.70 | 0.44 |     729     |   32.00    |
|  Gen 33  | 74.67 |  -82.33 | 0.50 |     729     |   33.33    |
|  Gen 34  | 72.00 |  -76.90 | 0.46 |     729     |   32.67    |
|  Gen 35  | 74.00 |  -75.73 | 0.44 |     729     |   35.33    |
|  Gen 36  | 74.67 |  -81.60 | 0.49 |     729     |   33.33    |
|  Gen 37  | 74.67 |  -74.93 | 0.44 |     729     |   34.00    |
|  Gen 38  | 74.67 |  -80.00 | 0.47 |     729     |   34.00    |
|  Gen 39  | 74.00 |  -86.47 | 0.52 |     729     |   36.00    |
|  Gen 40  | 72.00 |  -82.17 | 0.49 |     729     |   34.67    |
|  Gen 41  | 76.00 |  -81.20 | 0.48 |     729     |   36.00    |
|  Gen 42  | 74.00 |  -84.77 | 0.50 |     729     |   32.00    |
|  Gen 43  | 71.33 |  -76.27 | 0.44 |     729     |   32.67    |
|  Gen 44  | 75.33 |  -78.83 | 0.45 |     729     |   34.00    |
|  Gen 45  | 73.33 |  -81.33 | 0.47 |     729     |   31.33    |
|  Gen 46  | 75.33 |  -76.93 | 0.44 |     729     |   33.33    |
|  Gen 47  | 77.33 |  -83.30 | 0.48 |     729     |   34.67    |
|  Gen 48  | 74.67 |  -84.90 | 0.50 |     729     |   36.00    |
|  Gen 49  | 76.00 |  -90.47 | 0.54 |     729     |   38.00    |
|  Gen 50  | 78.00 |  -80.93 | 0.46 |     729     |   34.67    |
| Best GC  | 80.00 |  -84.13 | 0.48 |     729     |   31.33    |
| Best MFE | 77.33 | -101.30 | 0.47 |     729     |   34.67    |
| Best CAI | 75.33 |  -79.50 | 0.60 |     729     |   34.00    |
| Natural  | 47.10 | -357.57 | 0.50 |      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
