+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 51.56 | -73.50 | 0.61 |      51     |   76.89    |
|  Gen 2   | 50.22 | -75.00 | 0.60 |      44     |   80.00    |
|  Gen 3   | 48.44 | -79.90 | 0.59 |      53     |   76.44    |
|  Gen 4   | 50.67 | -88.53 | 0.58 |      54     |   76.00    |
|  Gen 5   | 49.78 | -81.50 | 0.58 |      53     |   76.44    |
|  Gen 6   | 50.67 | -70.60 | 0.60 |      51     |   77.33    |
|  Gen 7   | 51.11 | -75.23 | 0.58 |      58     |   73.78    |
|  Gen 8   | 50.67 | -79.37 | 0.57 |      48     |   78.67    |
|  Gen 9   | 50.22 | -70.73 | 0.58 |      52     |   76.44    |
|  Gen 10  | 52.44 | -82.40 | 0.55 |      58     |   73.78    |
|  Gen 11  | 53.33 | -79.07 | 0.55 |      42     |   81.33    |
|  Gen 12  | 50.22 | -72.50 | 0.56 |      52     |   76.89    |
|  Gen 13  | 52.44 | -72.47 | 0.56 |      56     |   75.11    |
|  Gen 14  | 51.11 | -74.60 | 0.55 |      52     |   76.44    |
|  Gen 15  | 53.33 | -74.67 | 0.55 |      56     |   75.11    |
|  Gen 16  | 49.33 | -67.20 | 0.56 |      46     |   79.56    |
|  Gen 17  | 50.67 | -70.43 | 0.55 |      56     |   75.11    |
|  Gen 18  | 47.11 | -76.80 | 0.54 |      58     |   74.22    |
|  Gen 19  | 47.56 | -76.33 | 0.54 |      55     |   75.56    |
|  Gen 20  | 52.89 | -72.07 | 0.54 |      56     |   75.11    |
|  Gen 21  | 48.44 | -81.87 | 0.53 |      57     |   74.67    |
|  Gen 22  | 51.11 | -78.70 | 0.53 |      50     |   77.78    |
|  Gen 23  | 48.89 | -79.90 | 0.53 |      52     |   76.44    |
|  Gen 24  | 48.89 | -69.90 | 0.54 |      47     |   79.11    |
|  Gen 25  | 48.89 | -73.57 | 0.54 |      49     |   77.78    |
|  Gen 26  | 50.67 | -73.50 | 0.53 |      51     |   77.33    |
|  Gen 27  | 49.33 | -73.53 | 0.53 |      42     |   81.33    |
|  Gen 28  | 48.89 | -68.20 | 0.54 |      56     |   75.11    |
|  Gen 29  | 48.44 | -71.40 | 0.54 |      48     |   78.22    |
|  Gen 30  | 49.33 | -74.57 | 0.53 |      56     |   75.11    |
|  Gen 31  | 48.44 | -74.10 | 0.53 |      43     |   80.44    |
|  Gen 32  | 47.56 | -73.17 | 0.53 |      55     |   75.11    |
|  Gen 33  | 50.67 | -76.83 | 0.52 |      50     |   77.78    |
|  Gen 34  | 51.56 | -77.00 | 0.52 |      52     |   76.89    |
|  Gen 35  | 47.11 | -76.70 | 0.52 |      50     |   77.78    |
|  Gen 36  | 48.89 | -70.97 | 0.53 |      50     |   77.78    |
|  Gen 37  | 51.11 | -73.30 | 0.52 |      52     |   76.44    |
|  Gen 38  | 49.78 | -74.90 | 0.51 |      48     |   78.67    |
|  Gen 39  | 48.44 | -68.23 | 0.52 |      55     |   75.11    |
|  Gen 40  | 49.33 | -77.53 | 0.51 |      46     |   79.56    |
|  Gen 41  | 50.67 | -68.43 | 0.52 |      52     |   76.89    |
|  Gen 42  | 49.33 | -72.60 | 0.51 |      58     |   74.22    |
|  Gen 43  | 47.11 | -70.97 | 0.52 |      46     |   79.11    |
|  Gen 44  | 49.78 | -78.73 | 0.50 |      52     |   76.44    |
|  Gen 45  | 50.67 | -74.20 | 0.51 |      49     |   77.78    |
|  Gen 46  | 49.33 | -76.50 | 0.51 |      52     |   76.44    |
|  Gen 47  | 44.89 | -76.23 | 0.51 |      40     |   82.22    |
|  Gen 48  | 50.67 | -76.70 | 0.51 |      50     |   77.78    |
|  Gen 49  | 49.33 | -75.83 | 0.51 |      55     |   75.56    |
|  Gen 50  | 47.56 | -69.80 | 0.51 |      59     |   73.78    |
| Best GC  | 53.78 | -86.10 | 0.47 |      62     |   72.44    |
| Best MFE | 50.67 | -88.53 | 0.58 |      54     |   76.00    |
| Best CAI | 51.56 | -73.50 | 0.61 |      51     |   76.89    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
