+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 50.83 | -165.60 | 0.56 |     105     |   74.94    |
|  Gen 2   | 49.17 | -158.80 | 0.53 |     111     |   73.29    |
|  Gen 3   | 49.88 | -160.17 | 0.53 |      98     |   76.83    |
|  Gen 4   | 49.65 | -159.43 | 0.52 |      98     |   76.83    |
|  Gen 5   | 52.01 | -161.30 | 0.50 |     106     |   74.47    |
|  Gen 6   | 50.59 | -165.40 | 0.49 |     111     |   73.29    |
|  Gen 7   | 47.99 | -157.57 | 0.50 |     108     |   74.47    |
|  Gen 8   | 47.99 | -156.93 | 0.50 |     111     |   73.76    |
|  Gen 9   | 49.65 | -169.47 | 0.48 |     102     |   75.65    |
|  Gen 10  | 50.12 | -162.87 | 0.49 |     106     |   74.70    |
|  Gen 11  | 47.99 | -154.33 | 0.50 |     104     |   74.70    |
|  Gen 12  | 47.52 | -167.50 | 0.48 |     107     |   74.47    |
|  Gen 13  | 46.10 | -149.20 | 0.50 |      95     |   77.30    |
|  Gen 14  | 48.70 | -163.87 | 0.48 |      92     |   78.25    |
|  Gen 15  | 48.23 | -165.13 | 0.48 |      99     |   76.36    |
|  Gen 16  | 48.46 | -158.27 | 0.48 |     116     |   72.34    |
|  Gen 17  | 48.70 | -164.13 | 0.47 |     115     |   72.34    |
|  Gen 18  | 48.94 | -159.77 | 0.48 |     111     |   73.29    |
|  Gen 19  | 47.04 | -158.97 | 0.48 |     101     |   76.12    |
|  Gen 20  | 44.44 | -157.20 | 0.48 |      94     |   77.54    |
|  Gen 21  | 48.70 | -158.13 | 0.48 |     103     |   75.65    |
|  Gen 22  | 48.46 | -165.97 | 0.47 |     105     |   75.18    |
|  Gen 23  | 47.52 | -159.67 | 0.47 |     107     |   74.70    |
|  Gen 24  | 47.75 | -145.37 | 0.49 |      98     |   76.60    |
|  Gen 25  | 49.65 | -163.90 | 0.46 |      97     |   77.07    |
|  Gen 26  | 48.94 | -164.90 | 0.46 |     102     |   75.89    |
|  Gen 27  | 48.70 | -154.13 | 0.48 |     102     |   75.65    |
|  Gen 28  | 47.04 | -158.57 | 0.47 |     100     |   76.12    |
|  Gen 29  | 46.10 | -151.00 | 0.48 |     111     |   73.76    |
|  Gen 30  | 46.81 | -156.00 | 0.47 |     101     |   75.89    |
|  Gen 31  | 46.57 | -149.67 | 0.48 |     101     |   76.12    |
|  Gen 32  | 48.46 | -147.50 | 0.48 |     103     |   75.18    |
|  Gen 33  | 50.59 | -158.13 | 0.47 |     100     |   76.12    |
|  Gen 34  | 48.23 | -161.03 | 0.46 |      88     |   78.96    |
|  Gen 35  | 47.99 | -167.70 | 0.45 |      98     |   76.83    |
|  Gen 36  | 47.52 | -153.23 | 0.47 |      96     |   76.60    |
|  Gen 37  | 48.23 | -155.13 | 0.47 |     108     |   74.23    |
|  Gen 38  | 47.04 | -154.70 | 0.47 |     102     |   75.65    |
|  Gen 39  | 49.17 | -151.53 | 0.47 |     115     |   72.81    |
|  Gen 40  | 47.75 | -151.33 | 0.47 |      97     |   77.07    |
|  Gen 41  | 51.06 | -161.83 | 0.45 |      99     |   76.60    |
|  Gen 42  | 48.23 | -148.67 | 0.47 |     108     |   74.47    |
|  Gen 43  | 45.15 | -158.63 | 0.45 |     104     |   75.41    |
|  Gen 44  | 45.86 | -157.93 | 0.45 |      92     |   78.25    |
|  Gen 45  | 50.12 | -154.23 | 0.46 |      93     |   78.01    |
|  Gen 46  | 47.75 | -146.80 | 0.47 |     100     |   76.12    |
|  Gen 47  | 46.34 | -160.03 | 0.45 |     105     |   75.18    |
|  Gen 48  | 46.81 | -153.70 | 0.46 |     103     |   75.41    |
|  Gen 49  | 48.46 | -155.60 | 0.45 |      96     |   77.07    |
|  Gen 50  | 47.99 | -160.30 | 0.45 |     102     |   75.41    |
| Best GC  | 52.01 | -161.30 | 0.50 |     106     |   74.47    |
| Best MFE | 49.65 | -169.47 | 0.48 |     102     |   75.65    |
| Best CAI | 50.83 | -165.60 | 0.56 |     105     |   74.94    |
| Natural  | 44.68 | -152.30 | 0.47 |      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
