+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 48.44 | -60.40 | 0.50 |      51     |   77.33    |
|  Gen 2   | 48.89 | -63.57 | 0.52 |      54     |   76.00    |
|  Gen 3   | 47.56 | -72.10 | 0.58 |      46     |   79.11    |
|  Gen 4   | 47.11 | -63.60 | 0.52 |      47     |   79.11    |
|  Gen 5   | 51.11 | -70.80 | 0.57 |      47     |   79.11    |
|  Gen 6   | 44.89 | -59.87 | 0.48 |      52     |   76.89    |
|  Gen 7   | 47.56 | -63.10 | 0.50 |      57     |   74.67    |
|  Gen 8   | 50.22 | -73.73 | 0.57 |      54     |   76.00    |
|  Gen 9   | 47.56 | -69.33 | 0.54 |      48     |   78.67    |
|  Gen 10  | 48.89 | -66.40 | 0.51 |      54     |   76.00    |
|  Gen 11  | 51.56 | -75.10 | 0.58 |      58     |   74.22    |
|  Gen 12  | 48.89 | -71.70 | 0.55 |      57     |   73.78    |
|  Gen 13  | 47.56 | -71.17 | 0.54 |      53     |   76.44    |
|  Gen 14  | 49.78 | -62.70 | 0.48 |      53     |   76.44    |
|  Gen 15  | 51.11 | -70.37 | 0.53 |      45     |   79.56    |
|  Gen 16  | 52.89 | -75.80 | 0.57 |      57     |   74.22    |
|  Gen 17  | 48.00 | -69.60 | 0.52 |      52     |   76.44    |
|  Gen 18  | 50.22 | -80.90 | 0.61 |      44     |   80.00    |
|  Gen 19  | 50.67 | -71.20 | 0.54 |      54     |   76.00    |
|  Gen 20  | 49.78 | -68.20 | 0.51 |      54     |   75.56    |
|  Gen 21  | 51.56 | -75.40 | 0.56 |      51     |   76.89    |
|  Gen 22  | 51.11 | -73.80 | 0.55 |      48     |   78.67    |
|  Gen 23  | 48.44 | -67.17 | 0.50 |      49     |   78.22    |
|  Gen 24  | 50.22 | -70.10 | 0.52 |      58     |   73.78    |
|  Gen 25  | 48.00 | -64.60 | 0.48 |      54     |   76.00    |
|  Gen 26  | 47.11 | -68.03 | 0.50 |      44     |   80.44    |
|  Gen 27  | 51.11 | -73.30 | 0.54 |      45     |   79.56    |
|  Gen 28  | 47.56 | -62.97 | 0.46 |      53     |   76.44    |
|  Gen 29  | 50.67 | -70.97 | 0.52 |      59     |   73.33    |
|  Gen 30  | 47.11 | -75.00 | 0.55 |      46     |   79.56    |
|  Gen 31  | 48.00 | -60.00 | 0.44 |      49     |   77.78    |
|  Gen 32  | 46.67 | -67.47 | 0.50 |      56     |   75.11    |
|  Gen 33  | 48.44 | -69.00 | 0.51 |      53     |   76.44    |
|  Gen 34  | 51.11 | -74.90 | 0.55 |      52     |   76.89    |
|  Gen 35  | 51.11 | -76.20 | 0.56 |      51     |   77.33    |
|  Gen 36  | 46.22 | -67.80 | 0.50 |      43     |   80.89    |
|  Gen 37  | 49.78 | -71.80 | 0.52 |      51     |   77.33    |
|  Gen 38  | 49.78 | -74.10 | 0.54 |      46     |   79.56    |
|  Gen 39  | 49.33 | -73.93 | 0.54 |      50     |   77.33    |
|  Gen 40  | 48.89 | -72.20 | 0.52 |      47     |   78.67    |
|  Gen 41  | 52.00 | -75.93 | 0.55 |      56     |   74.67    |
|  Gen 42  | 44.00 | -60.70 | 0.43 |      56     |   74.67    |
|  Gen 43  | 49.78 | -72.43 | 0.52 |      57     |   74.22    |
|  Gen 44  | 48.00 | -71.40 | 0.51 |      45     |   79.56    |
|  Gen 45  | 49.33 | -69.73 | 0.50 |      63     |   71.56    |
|  Gen 46  | 49.33 | -71.87 | 0.51 |      47     |   79.11    |
|  Gen 47  | 47.11 | -68.73 | 0.49 |      51     |   77.33    |
|  Gen 48  | 48.00 | -73.00 | 0.52 |      53     |   76.44    |
|  Gen 49  | 49.33 | -74.17 | 0.53 |      57     |   74.67    |
|  Gen 50  | 46.22 | -70.10 | 0.50 |      46     |   79.56    |
| Best GC  | 53.78 | -83.37 | 0.55 |      52     |   76.89    |
| Best MFE | 53.78 | -83.37 | 0.55 |      52     |   76.89    |
| Best CAI | 50.22 | -80.90 | 0.61 |      44     |   80.00    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
