+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 55.56 | -81.23 | 0.65 |      50     |   77.78    |
|  Gen 2   | 53.78 | -82.17 | 0.61 |      56     |   74.67    |
|  Gen 3   | 52.89 | -81.83 | 0.60 |      56     |   74.67    |
|  Gen 4   | 52.44 | -86.60 | 0.58 |      50     |   77.78    |
|  Gen 5   | 52.89 | -79.77 | 0.58 |      44     |   80.44    |
|  Gen 6   | 53.33 | -73.80 | 0.59 |      51     |   76.89    |
|  Gen 7   | 50.67 | -76.30 | 0.59 |      55     |   75.11    |
|  Gen 8   | 51.56 | -80.80 | 0.58 |      45     |   80.00    |
|  Gen 9   | 49.33 | -78.43 | 0.58 |      51     |   76.44    |
|  Gen 10  | 52.44 | -83.30 | 0.57 |      52     |   76.89    |
|  Gen 11  | 52.44 | -76.53 | 0.58 |      53     |   76.44    |
|  Gen 12  | 52.44 | -82.80 | 0.56 |      51     |   76.89    |
|  Gen 13  | 51.56 | -76.10 | 0.57 |      51     |   77.33    |
|  Gen 14  | 53.33 | -77.30 | 0.56 |      49     |   78.22    |
|  Gen 15  | 51.56 | -78.80 | 0.56 |      62     |   72.44    |
|  Gen 16  | 49.33 | -72.33 | 0.57 |      55     |   75.56    |
|  Gen 17  | 50.67 | -69.60 | 0.57 |      57     |   74.22    |
|  Gen 18  | 51.56 | -84.40 | 0.55 |      49     |   78.22    |
|  Gen 19  | 48.89 | -77.90 | 0.55 |      49     |   77.78    |
|  Gen 20  | 51.11 | -75.67 | 0.56 |      47     |   79.11    |
|  Gen 21  | 47.11 | -73.03 | 0.56 |      53     |   76.44    |
|  Gen 22  | 48.00 | -64.90 | 0.57 |      44     |   80.00    |
|  Gen 23  | 50.67 | -81.67 | 0.54 |      53     |   76.00    |
|  Gen 24  | 52.00 | -80.37 | 0.54 |      50     |   77.78    |
|  Gen 25  | 50.67 | -76.30 | 0.55 |      59     |   73.78    |
|  Gen 26  | 48.44 | -80.60 | 0.53 |      59     |   72.89    |
|  Gen 27  | 52.00 | -76.00 | 0.54 |      47     |   78.22    |
|  Gen 28  | 48.89 | -72.10 | 0.54 |      51     |   77.33    |
|  Gen 29  | 49.78 | -71.60 | 0.54 |      56     |   75.11    |
|  Gen 30  | 49.33 | -74.50 | 0.54 |      52     |   76.89    |
|  Gen 31  | 49.78 | -69.97 | 0.54 |      51     |   77.33    |
|  Gen 32  | 52.89 | -77.07 | 0.53 |      47     |   78.67    |
|  Gen 33  | 48.89 | -70.20 | 0.54 |      55     |   75.11    |
|  Gen 34  | 52.44 | -74.10 | 0.54 |      53     |   76.44    |
|  Gen 35  | 50.22 | -76.10 | 0.53 |      49     |   78.22    |
|  Gen 36  | 49.78 | -76.47 | 0.53 |      49     |   78.22    |
|  Gen 37  | 51.11 | -81.77 | 0.52 |      52     |   76.89    |
|  Gen 38  | 47.56 | -69.50 | 0.54 |      49     |   77.78    |
|  Gen 39  | 52.00 | -77.90 | 0.52 |      53     |   76.44    |
|  Gen 40  | 48.44 | -72.20 | 0.53 |      44     |   79.56    |
|  Gen 41  | 49.78 | -72.13 | 0.53 |      51     |   77.33    |
|  Gen 42  | 48.89 | -77.23 | 0.52 |      51     |   77.33    |
|  Gen 43  | 49.78 | -69.27 | 0.53 |      49     |   77.78    |
|  Gen 44  | 51.11 | -70.80 | 0.53 |      54     |   75.56    |
|  Gen 45  | 50.22 | -74.00 | 0.52 |      50     |   77.78    |
|  Gen 46  | 48.89 | -74.27 | 0.52 |      47     |   78.67    |
|  Gen 47  | 48.44 | -78.13 | 0.52 |      47     |   78.67    |
|  Gen 48  | 48.44 | -72.20 | 0.52 |      50     |   77.33    |
|  Gen 49  | 48.44 | -76.00 | 0.52 |      45     |   79.11    |
|  Gen 50  | 48.44 | -71.33 | 0.52 |      54     |   76.00    |
| Best GC  | 55.56 | -81.23 | 0.65 |      50     |   77.78    |
| Best MFE | 52.44 | -86.60 | 0.58 |      50     |   77.78    |
| Best CAI | 55.56 | -81.23 | 0.65 |      50     |   77.78    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
