+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 47.75 | -166.03 | 0.52 |      95     |   77.54    |
|  Gen 2   | 48.94 | -166.33 | 0.51 |     105     |   75.18    |
|  Gen 3   | 51.54 | -164.20 | 0.51 |     109     |   74.23    |
|  Gen 4   | 51.30 | -174.67 | 0.49 |      97     |   77.07    |
|  Gen 5   | 48.70 | -171.30 | 0.49 |      96     |   77.30    |
|  Gen 6   | 47.52 | -152.77 | 0.52 |     101     |   76.12    |
|  Gen 7   | 48.70 | -164.63 | 0.50 |     105     |   75.18    |
|  Gen 8   | 48.94 | -160.50 | 0.51 |     103     |   75.65    |
|  Gen 9   | 48.94 | -158.57 | 0.50 |     111     |   73.29    |
|  Gen 10  | 49.65 | -167.33 | 0.49 |     103     |   75.41    |
|  Gen 11  | 50.35 | -151.27 | 0.51 |      95     |   77.54    |
|  Gen 12  | 49.41 | -154.53 | 0.50 |      98     |   76.83    |
|  Gen 13  | 49.17 | -155.33 | 0.50 |     100     |   76.36    |
|  Gen 14  | 51.54 | -155.70 | 0.50 |      96     |   77.07    |
|  Gen 15  | 47.75 | -156.10 | 0.49 |     105     |   75.18    |
|  Gen 16  | 47.99 | -162.10 | 0.48 |     100     |   76.12    |
|  Gen 17  | 49.17 | -163.90 | 0.48 |     104     |   75.41    |
|  Gen 18  | 47.52 | -165.13 | 0.48 |     105     |   74.94    |
|  Gen 19  | 48.94 | -155.27 | 0.49 |     106     |   74.94    |
|  Gen 20  | 49.88 | -164.37 | 0.47 |     108     |   74.47    |
|  Gen 21  | 47.75 | -156.27 | 0.49 |     108     |   74.23    |
|  Gen 22  | 50.12 | -161.43 | 0.48 |      97     |   77.07    |
|  Gen 23  | 47.52 | -162.80 | 0.48 |      96     |   77.07    |
|  Gen 24  | 46.34 | -155.37 | 0.48 |      95     |   77.54    |
|  Gen 25  | 47.75 | -171.00 | 0.46 |     114     |   73.05    |
|  Gen 26  | 46.34 | -161.50 | 0.47 |     101     |   76.12    |
|  Gen 27  | 49.65 | -162.37 | 0.47 |      99     |   76.36    |
|  Gen 28  | 49.17 | -160.20 | 0.47 |     116     |   72.58    |
|  Gen 29  | 48.23 | -159.10 | 0.48 |     104     |   74.94    |
|  Gen 30  | 46.57 | -154.97 | 0.48 |     106     |   74.70    |
|  Gen 31  | 48.70 | -155.77 | 0.48 |     108     |   74.23    |
|  Gen 32  | 49.88 | -163.70 | 0.46 |     106     |   74.94    |
|  Gen 33  | 48.23 | -163.67 | 0.46 |     110     |   73.76    |
|  Gen 34  | 48.46 | -160.87 | 0.47 |     104     |   74.94    |
|  Gen 35  | 47.04 | -162.13 | 0.46 |     107     |   74.23    |
|  Gen 36  | 49.88 | -164.20 | 0.46 |     108     |   74.47    |
|  Gen 37  | 47.75 | -167.70 | 0.45 |      99     |   76.36    |
|  Gen 38  | 47.52 | -158.27 | 0.47 |     114     |   72.81    |
|  Gen 39  | 48.70 | -151.63 | 0.47 |     100     |   76.36    |
|  Gen 40  | 47.75 | -155.63 | 0.47 |     110     |   74.00    |
|  Gen 41  | 47.52 | -162.27 | 0.46 |     110     |   74.00    |
|  Gen 42  | 47.75 | -156.10 | 0.47 |     110     |   74.00    |
|  Gen 43  | 47.52 | -156.47 | 0.46 |     108     |   74.23    |
|  Gen 44  | 49.65 | -150.87 | 0.47 |     101     |   75.89    |
|  Gen 45  | 48.46 | -153.77 | 0.46 |     104     |   75.18    |
|  Gen 46  | 47.28 | -156.00 | 0.46 |     102     |   75.89    |
|  Gen 47  | 48.46 | -146.40 | 0.47 |     106     |   74.23    |
|  Gen 48  | 48.70 | -164.63 | 0.45 |     112     |   73.52    |
|  Gen 49  | 47.04 | -160.00 | 0.45 |     104     |   74.94    |
|  Gen 50  | 46.34 | -151.43 | 0.47 |      88     |   78.96    |
| Best GC  | 51.54 | -155.70 | 0.50 |      96     |   77.07    |
| Best MFE | 51.30 | -174.67 | 0.49 |      97     |   77.07    |
| Best CAI | 47.75 | -166.03 | 0.52 |      95     |   77.54    |
| Natural  | 44.68 | -152.30 | 0.47 |      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
