+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 51.30 | -182.33 | 0.57 |      96     |   77.07    |
|  Gen 2   | 50.35 | -168.00 | 0.55 |     103     |   75.41    |
|  Gen 3   | 52.48 | -166.13 | 0.53 |      95     |   77.30    |
|  Gen 4   | 49.65 | -168.80 | 0.53 |      94     |   77.78    |
|  Gen 5   | 49.41 | -157.97 | 0.54 |     102     |   75.65    |
|  Gen 6   | 49.17 | -168.63 | 0.52 |      98     |   76.83    |
|  Gen 7   | 48.70 | -162.43 | 0.53 |     104     |   74.94    |
|  Gen 8   | 50.59 | -167.93 | 0.52 |     101     |   76.12    |
|  Gen 9   | 50.59 | -166.87 | 0.52 |     110     |   73.76    |
|  Gen 10  | 49.41 | -161.80 | 0.52 |     104     |   74.94    |
|  Gen 11  | 50.59 | -157.20 | 0.53 |      90     |   78.49    |
|  Gen 12  | 52.01 | -166.33 | 0.51 |     101     |   75.89    |
|  Gen 13  | 48.94 | -158.77 | 0.52 |      98     |   76.83    |
|  Gen 14  | 50.12 | -174.77 | 0.50 |      93     |   78.01    |
|  Gen 15  | 49.41 | -162.27 | 0.52 |     105     |   74.94    |
|  Gen 16  | 50.12 | -149.27 | 0.54 |      99     |   76.36    |
|  Gen 17  | 51.06 | -163.27 | 0.51 |     104     |   75.18    |
|  Gen 18  | 51.06 | -161.37 | 0.52 |     110     |   73.76    |
|  Gen 19  | 50.59 | -169.70 | 0.50 |     105     |   74.94    |
|  Gen 20  | 52.25 | -155.60 | 0.53 |     104     |   75.18    |
|  Gen 21  | 49.17 | -157.63 | 0.52 |      98     |   76.83    |
|  Gen 22  | 49.65 | -161.33 | 0.51 |      94     |   77.78    |
|  Gen 23  | 48.94 | -162.17 | 0.51 |     101     |   76.12    |
|  Gen 24  | 48.70 | -154.90 | 0.52 |      98     |   76.60    |
|  Gen 25  | 48.46 | -155.87 | 0.52 |      92     |   78.25    |
|  Gen 26  | 47.52 | -159.73 | 0.51 |     100     |   76.36    |
|  Gen 27  | 49.17 | -160.37 | 0.51 |     106     |   74.70    |
|  Gen 28  | 47.28 | -164.67 | 0.50 |      96     |   77.30    |
|  Gen 29  | 47.99 | -164.40 | 0.50 |     103     |   75.18    |
|  Gen 30  | 49.88 | -160.70 | 0.50 |     109     |   74.23    |
|  Gen 31  | 48.46 | -157.23 | 0.51 |      94     |   77.07    |
|  Gen 32  | 47.75 | -152.53 | 0.52 |     112     |   73.52    |
|  Gen 33  | 50.59 | -157.63 | 0.51 |      96     |   77.07    |
|  Gen 34  | 47.99 | -161.07 | 0.50 |      94     |   77.54    |
|  Gen 35  | 48.46 | -161.37 | 0.50 |     103     |   75.41    |
|  Gen 36  | 49.88 | -166.80 | 0.49 |     102     |   75.65    |
|  Gen 37  | 49.41 | -157.77 | 0.51 |     105     |   75.18    |
|  Gen 38  | 49.65 | -153.93 | 0.51 |     105     |   74.70    |
|  Gen 39  | 49.41 | -160.17 | 0.50 |      94     |   77.54    |
|  Gen 40  | 48.94 | -150.00 | 0.52 |      92     |   78.01    |
|  Gen 41  | 49.65 | -170.43 | 0.48 |     105     |   74.70    |
|  Gen 42  | 48.46 | -147.00 | 0.52 |     100     |   76.12    |
|  Gen 43  | 49.17 | -168.70 | 0.48 |      90     |   78.72    |
|  Gen 44  | 49.17 | -158.80 | 0.50 |      97     |   76.60    |
|  Gen 45  | 49.41 | -163.87 | 0.49 |     101     |   75.65    |
|  Gen 46  | 49.41 | -152.67 | 0.51 |     102     |   75.65    |
|  Gen 47  | 47.75 | -161.47 | 0.49 |     102     |   75.41    |
|  Gen 48  | 49.65 | -158.20 | 0.49 |     101     |   76.12    |
|  Gen 49  | 48.23 | -163.80 | 0.48 |      99     |   76.36    |
|  Gen 50  | 49.65 | -165.03 | 0.48 |      94     |   77.07    |
| Best GC  | 52.48 | -166.13 | 0.53 |      95     |   77.30    |
| Best MFE | 51.30 | -182.33 | 0.57 |      96     |   77.07    |
| Best CAI | 51.30 | -182.33 | 0.57 |      96     |   77.07    |
| Natural  | 44.68 | -152.30 | 0.47 |      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
