+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 51.06 | -171.43 | 0.50 |     101     |   76.12    |
|  Gen 2   | 48.46 | -172.17 | 0.54 |     108     |   74.00    |
|  Gen 3   | 50.35 | -171.77 | 0.49 |     110     |   73.76    |
|  Gen 4   | 49.88 | -168.83 | 0.50 |     115     |   72.81    |
|  Gen 5   | 51.30 | -160.67 | 0.51 |     105     |   74.94    |
|  Gen 6   | 49.65 | -162.60 | 0.54 |      97     |   77.07    |
|  Gen 7   | 49.17 | -166.57 | 0.51 |     108     |   74.23    |
|  Gen 8   | 50.12 | -167.53 | 0.48 |      90     |   78.49    |
|  Gen 9   | 49.65 | -169.93 | 0.48 |     113     |   73.29    |
|  Gen 10  | 49.41 | -167.70 | 0.49 |     102     |   75.89    |
|  Gen 11  | 48.94 | -170.50 | 0.48 |     100     |   76.36    |
|  Gen 12  | 50.12 | -161.07 | 0.50 |     112     |   73.52    |
|  Gen 13  | 50.12 | -160.07 | 0.49 |     104     |   74.94    |
|  Gen 14  | 49.17 | -165.03 | 0.49 |      97     |   76.83    |
|  Gen 15  | 48.46 | -159.37 | 0.53 |      93     |   78.01    |
|  Gen 16  | 49.41 | -168.90 | 0.44 |     110     |   73.76    |
|  Gen 17  | 50.12 | -157.13 | 0.49 |     111     |   73.52    |
|  Gen 18  | 48.46 | -159.07 | 0.51 |     103     |   75.18    |
|  Gen 19  | 48.70 | -163.17 | 0.48 |      98     |   75.65    |
|  Gen 20  | 48.94 | -159.00 | 0.49 |     106     |   74.00    |
|  Gen 21  | 48.46 | -160.27 | 0.50 |     100     |   76.36    |
|  Gen 22  | 48.70 | -167.87 | 0.45 |     105     |   74.23    |
|  Gen 23  | 49.17 | -162.07 | 0.46 |     102     |   75.41    |
|  Gen 24  | 48.94 | -162.00 | 0.47 |     103     |   75.65    |
|  Gen 25  | 50.12 | -156.93 | 0.47 |     106     |   74.94    |
|  Gen 26  | 48.46 | -161.60 | 0.48 |     101     |   76.12    |
|  Gen 27  | 49.65 | -159.00 | 0.47 |     102     |   75.89    |
|  Gen 28  | 48.94 | -162.40 | 0.46 |      98     |   76.60    |
|  Gen 29  | 48.23 | -166.23 | 0.45 |      94     |   77.54    |
|  Gen 30  | 48.23 | -156.67 | 0.50 |      95     |   77.54    |
|  Gen 31  | 48.46 | -157.67 | 0.48 |     101     |   75.65    |
|  Gen 32  | 49.17 | -155.10 | 0.48 |     108     |   74.23    |
|  Gen 33  | 49.41 | -153.57 | 0.48 |      99     |   76.12    |
|  Gen 34  | 47.28 | -161.13 | 0.49 |     103     |   75.41    |
|  Gen 35  | 48.23 | -151.27 | 0.52 |      99     |   76.36    |
|  Gen 36  | 48.70 | -158.60 | 0.46 |     106     |   74.94    |
|  Gen 37  | 48.23 | -158.07 | 0.47 |      98     |   76.60    |
|  Gen 38  | 49.17 | -156.27 | 0.46 |      97     |   76.83    |
|  Gen 39  | 47.28 | -161.77 | 0.47 |      99     |   76.12    |
|  Gen 40  | 47.99 | -156.60 | 0.48 |     116     |   72.58    |
|  Gen 41  | 47.28 | -160.63 | 0.47 |     102     |   75.65    |
|  Gen 42  | 48.23 | -155.93 | 0.47 |      99     |   76.12    |
|  Gen 43  | 47.75 | -156.10 | 0.48 |     101     |   75.89    |
|  Gen 44  | 47.99 | -161.23 | 0.45 |     106     |   74.23    |
|  Gen 45  | 47.04 | -156.83 | 0.49 |     102     |   75.65    |
|  Gen 46  | 47.28 | -161.20 | 0.45 |      95     |   77.30    |
|  Gen 47  | 48.23 | -152.13 | 0.47 |     105     |   75.18    |
|  Gen 48  | 48.46 | -151.37 | 0.47 |     100     |   75.89    |
|  Gen 49  | 47.52 | -154.53 | 0.47 |     102     |   75.18    |
|  Gen 50  | 47.99 | -156.77 | 0.45 |     101     |   75.41    |
| Best GC  | 51.30 | -160.67 | 0.51 |     105     |   74.94    |
| Best MFE | 48.46 | -172.17 | 0.54 |     108     |   74.00    |
| Best CAI | 48.46 | -172.17 | 0.54 |     108     |   74.00    |
| Natural  | 44.68 | -152.30 | 0.47 |      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
