+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 50.67 | -86.70 | 0.62 |      46     |   79.11    |
|  Gen 2   | 53.78 | -83.80 | 0.58 |      53     |   76.44    |
|  Gen 3   | 53.78 | -76.40 | 0.58 |      58     |   74.22    |
|  Gen 4   | 52.00 | -75.70 | 0.58 |      57     |   74.67    |
|  Gen 5   | 50.67 | -81.80 | 0.57 |      52     |   76.44    |
|  Gen 6   | 47.56 | -70.50 | 0.58 |      46     |   79.56    |
|  Gen 7   | 49.78 | -77.13 | 0.57 |      53     |   76.44    |
|  Gen 8   | 50.22 | -73.73 | 0.57 |      54     |   76.00    |
|  Gen 9   | 51.56 | -76.70 | 0.57 |      49     |   77.78    |
|  Gen 10  | 51.11 | -76.20 | 0.56 |      51     |   77.33    |
|  Gen 11  | 50.67 | -78.10 | 0.55 |      45     |   80.00    |
|  Gen 12  | 47.11 | -75.00 | 0.55 |      46     |   79.56    |
|  Gen 13  | 48.89 | -81.90 | 0.54 |      43     |   80.89    |
|  Gen 14  | 51.11 | -70.80 | 0.56 |      47     |   79.11    |
|  Gen 15  | 50.67 | -74.90 | 0.55 |      52     |   76.89    |
|  Gen 16  | 49.78 | -77.67 | 0.55 |      47     |   79.11    |
|  Gen 17  | 51.56 | -85.13 | 0.53 |      49     |   78.22    |
|  Gen 18  | 50.22 | -78.83 | 0.54 |      52     |   76.89    |
|  Gen 19  | 50.67 | -71.40 | 0.55 |      48     |   78.67    |
|  Gen 20  | 52.00 | -72.93 | 0.55 |      56     |   74.67    |
|  Gen 21  | 48.89 | -71.70 | 0.55 |      57     |   73.78    |
|  Gen 22  | 48.00 | -79.40 | 0.54 |      51     |   76.44    |
|  Gen 23  | 47.56 | -71.17 | 0.54 |      53     |   76.44    |
|  Gen 24  | 49.78 | -69.97 | 0.54 |      46     |   79.56    |
|  Gen 25  | 50.22 | -75.73 | 0.53 |      45     |   79.56    |
|  Gen 26  | 50.67 | -73.30 | 0.54 |      46     |   79.11    |
|  Gen 27  | 52.44 | -81.67 | 0.52 |      56     |   75.11    |
|  Gen 28  | 51.11 | -71.00 | 0.54 |      56     |   75.11    |
|  Gen 29  | 50.22 | -73.33 | 0.53 |      49     |   78.22    |
|  Gen 30  | 47.56 | -69.33 | 0.54 |      48     |   78.67    |
|  Gen 31  | 46.67 | -74.57 | 0.53 |      52     |   76.44    |
|  Gen 32  | 49.78 | -72.03 | 0.53 |      51     |   77.33    |
|  Gen 33  | 51.11 | -71.87 | 0.53 |      60     |   72.89    |
|  Gen 34  | 48.44 | -70.80 | 0.53 |      48     |   78.22    |
|  Gen 35  | 52.89 | -80.93 | 0.52 |      60     |   73.33    |
|  Gen 36  | 51.11 | -70.07 | 0.53 |      46     |   79.11    |
|  Gen 37  | 49.33 | -69.30 | 0.53 |      56     |   75.11    |
|  Gen 38  | 49.78 | -73.57 | 0.52 |      47     |   79.11    |
|  Gen 39  | 49.33 | -77.33 | 0.52 |      46     |   79.56    |
|  Gen 40  | 47.11 | -73.40 | 0.52 |      45     |   79.56    |
|  Gen 41  | 50.67 | -70.30 | 0.53 |      57     |   74.22    |
|  Gen 42  | 48.00 | -72.30 | 0.52 |      46     |   79.11    |
|  Gen 43  | 49.78 | -75.00 | 0.52 |      53     |   76.44    |
|  Gen 44  | 48.89 | -73.87 | 0.52 |      57     |   74.67    |
|  Gen 45  | 51.56 | -78.07 | 0.51 |      58     |   72.89    |
|  Gen 46  | 51.11 | -73.10 | 0.52 |      60     |   72.89    |
|  Gen 47  | 47.56 | -73.50 | 0.51 |      52     |   76.89    |
|  Gen 48  | 48.89 | -63.97 | 0.53 |      54     |   76.00    |
|  Gen 49  | 49.78 | -72.67 | 0.51 |      51     |   76.89    |
|  Gen 50  | 49.33 | -76.17 | 0.51 |      51     |   77.33    |
| Best GC  | 53.78 | -83.80 | 0.58 |      53     |   76.44    |
| Best MFE | 50.67 | -86.70 | 0.62 |      46     |   79.11    |
| Best CAI | 50.67 | -86.70 | 0.62 |      46     |   79.11    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
