+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 51.56 | -74.90 | 0.59 |      61     |   72.44    |
|  Gen 2   | 52.89 | -76.20 | 0.57 |      48     |   78.22    |
|  Gen 3   | 49.33 | -84.70 | 0.56 |      57     |   73.33    |
|  Gen 4   | 48.00 | -69.60 | 0.58 |      55     |   75.11    |
|  Gen 5   | 48.89 | -77.40 | 0.56 |      47     |   78.67    |
|  Gen 6   | 52.44 | -79.30 | 0.56 |      57     |   74.67    |
|  Gen 7   | 49.33 | -76.60 | 0.56 |      52     |   76.89    |
|  Gen 8   | 51.11 | -76.93 | 0.56 |      51     |   77.33    |
|  Gen 9   | 52.44 | -77.80 | 0.56 |      47     |   78.67    |
|  Gen 10  | 50.22 | -76.60 | 0.55 |      50     |   77.33    |
|  Gen 11  | 50.22 | -67.70 | 0.57 |      50     |   77.78    |
|  Gen 12  | 49.78 | -72.70 | 0.55 |      54     |   76.00    |
|  Gen 13  | 48.89 | -73.57 | 0.55 |      44     |   80.44    |
|  Gen 14  | 52.00 | -74.30 | 0.55 |      56     |   75.11    |
|  Gen 15  | 53.33 | -72.00 | 0.55 |      57     |   74.67    |
|  Gen 16  | 48.44 | -73.83 | 0.55 |      53     |   75.56    |
|  Gen 17  | 52.44 | -79.80 | 0.54 |      51     |   76.89    |
|  Gen 18  | 51.11 | -77.20 | 0.54 |      50     |   77.33    |
|  Gen 19  | 48.89 | -71.27 | 0.54 |      51     |   77.33    |
|  Gen 20  | 52.89 | -83.43 | 0.52 |      56     |   75.11    |
|  Gen 21  | 50.67 | -77.70 | 0.53 |      45     |   80.00    |
|  Gen 22  | 48.89 | -76.53 | 0.53 |      48     |   78.67    |
|  Gen 23  | 49.78 | -77.27 | 0.53 |      60     |   73.33    |
|  Gen 24  | 50.67 | -86.60 | 0.52 |      53     |   76.00    |
|  Gen 25  | 49.78 | -68.43 | 0.54 |      65     |   71.11    |
|  Gen 26  | 49.33 | -78.67 | 0.52 |      55     |   74.67    |
|  Gen 27  | 49.33 | -66.90 | 0.54 |      45     |   80.00    |
|  Gen 28  | 48.89 | -72.07 | 0.53 |      45     |   80.00    |
|  Gen 29  | 50.67 | -65.80 | 0.54 |      53     |   75.56    |
|  Gen 30  | 47.56 | -69.77 | 0.54 |      49     |   78.22    |
|  Gen 31  | 51.11 | -72.50 | 0.53 |      52     |   76.44    |
|  Gen 32  | 48.89 | -81.20 | 0.52 |      60     |   72.89    |
|  Gen 33  | 47.56 | -78.43 | 0.52 |      52     |   76.44    |
|  Gen 34  | 47.56 | -67.67 | 0.53 |      53     |   75.56    |
|  Gen 35  | 50.22 | -67.70 | 0.53 |      53     |   76.44    |
|  Gen 36  | 47.11 | -71.80 | 0.53 |      45     |   79.11    |
|  Gen 37  | 51.11 | -78.23 | 0.52 |      58     |   73.33    |
|  Gen 38  | 50.67 | -84.83 | 0.50 |      55     |   75.56    |
|  Gen 39  | 48.00 | -81.03 | 0.51 |      50     |   77.78    |
|  Gen 40  | 50.67 | -81.93 | 0.50 |      57     |   74.22    |
|  Gen 41  | 52.44 | -71.47 | 0.52 |      51     |   77.33    |
|  Gen 42  | 51.11 | -88.60 | 0.49 |      60     |   73.33    |
|  Gen 43  | 46.22 | -71.20 | 0.52 |      47     |   79.11    |
|  Gen 44  | 48.00 | -75.53 | 0.51 |      42     |   80.89    |
|  Gen 45  | 50.22 | -69.33 | 0.52 |      46     |   79.56    |
|  Gen 46  | 48.00 | -65.97 | 0.52 |      53     |   76.44    |
|  Gen 47  | 50.22 | -75.13 | 0.51 |      55     |   75.56    |
|  Gen 48  | 51.11 | -81.60 | 0.50 |      42     |   80.89    |
|  Gen 49  | 48.89 | -65.40 | 0.52 |      53     |   76.44    |
|  Gen 50  | 47.56 | -65.60 | 0.52 |      52     |   76.44    |
| Best GC  | 53.33 | -72.00 | 0.55 |      57     |   74.67    |
| Best MFE | 51.11 | -88.60 | 0.49 |      60     |   73.33    |
| Best CAI | 51.56 | -74.90 | 0.59 |      61     |   72.44    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
