+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 57.78 | -13.60 | 0.83 |      12     |   73.33    |
|  Gen 2   | 57.78 | -7.70  | 0.78 |      13     |   71.11    |
|  Gen 3   | 57.78 | -15.80 | 0.75 |      13     |   71.11    |
|  Gen 4   | 62.22 | -17.60 | 0.71 |      13     |   71.11    |
|  Gen 5   | 60.00 | -15.10 | 0.70 |      14     |   68.89    |
|  Gen 6   | 53.33 | -11.50 | 0.70 |      9      |   80.00    |
|  Gen 7   | 53.33 | -15.20 | 0.68 |      13     |   71.11    |
|  Gen 8   | 48.89 | -3.50  | 0.65 |      7      |   84.44    |
|  Gen 9   | 55.56 | -14.50 | 0.63 |      12     |   73.33    |
|  Gen 10  | 55.56 | -14.60 | 0.63 |      13     |   71.11    |
|  Gen 11  | 53.33 | -9.27  | 0.63 |      15     |   66.67    |
|  Gen 12  | 51.11 | -13.47 | 0.62 |      8      |   82.22    |
|  Gen 13  | 53.33 | -9.80  | 0.62 |      11     |   75.56    |
|  Gen 14  | 55.56 | -18.70 | 0.61 |      12     |   73.33    |
|  Gen 15  | 53.33 | -8.10  | 0.62 |      11     |   75.56    |
|  Gen 16  | 57.78 | -12.80 | 0.60 |      13     |   71.11    |
|  Gen 17  | 51.11 | -16.90 | 0.59 |      15     |   66.67    |
|  Gen 18  | 53.33 | -13.50 | 0.60 |      13     |   71.11    |
|  Gen 19  | 53.33 | -7.60  | 0.60 |      11     |   75.56    |
|  Gen 20  | 51.11 | -10.30 | 0.60 |      9      |   80.00    |
|  Gen 21  | 51.11 | -10.80 | 0.59 |      13     |   71.11    |
|  Gen 22  | 48.89 | -6.90  | 0.59 |      11     |   75.56    |
|  Gen 23  | 48.89 | -10.20 | 0.58 |      12     |   73.33    |
|  Gen 24  | 53.33 | -7.20  | 0.58 |      9      |   80.00    |
|  Gen 25  | 57.78 | -12.80 | 0.56 |      18     |   60.00    |
|  Gen 26  | 48.89 | -11.60 | 0.56 |      13     |   71.11    |
|  Gen 27  | 53.33 | -5.20  | 0.57 |      11     |   75.56    |
|  Gen 28  | 46.67 | -13.33 | 0.55 |      10     |   77.78    |
|  Gen 29  | 46.67 | -12.20 | 0.55 |      12     |   73.33    |
|  Gen 30  | 51.11 | -8.10  | 0.56 |      9      |   80.00    |
|  Gen 31  | 51.11 | -6.10  | 0.56 |      18     |   60.00    |
|  Gen 32  | 57.78 | -7.90  | 0.55 |      14     |   68.89    |
|  Gen 33  | 53.33 | -7.80  | 0.54 |      13     |   71.11    |
|  Gen 34  | 48.89 | -8.50  | 0.54 |      14     |   68.89    |
|  Gen 35  | 53.33 | -11.20 | 0.53 |      19     |   55.56    |
|  Gen 36  | 48.89 | -12.00 | 0.53 |      11     |   75.56    |
|  Gen 37  | 46.67 | -10.00 | 0.53 |      12     |   73.33    |
|  Gen 38  | 46.67 | -4.80  | 0.54 |      9      |   80.00    |
|  Gen 39  | 51.11 |  0.00  | 0.54 |      10     |   77.78    |
|  Gen 40  | 53.33 | -3.20  | 0.54 |      11     |   75.56    |
|  Gen 41  | 46.67 | -5.20  | 0.53 |      9      |   80.00    |
|  Gen 42  | 44.44 | -7.90  | 0.52 |      11     |   75.56    |
|  Gen 43  | 44.44 | -11.30 | 0.52 |      10     |   77.78    |
|  Gen 44  | 53.33 | -10.20 | 0.52 |      14     |   68.89    |
|  Gen 45  | 48.89 | -9.00  | 0.52 |      15     |   66.67    |
|  Gen 46  | 46.67 | -14.50 | 0.50 |      13     |   71.11    |
|  Gen 47  | 48.89 | -8.20  | 0.50 |      12     |   73.33    |
|  Gen 48  | 51.11 | -8.50  | 0.50 |      17     |   62.22    |
|  Gen 49  | 46.67 | -10.20 | 0.50 |      13     |   68.89    |
|  Gen 50  | 42.22 | -10.70 | 0.50 |      13     |   71.11    |
| Best GC  | 62.22 | -17.60 | 0.71 |      13     |   71.11    |
| Best MFE | 55.56 | -18.70 | 0.61 |      12     |   73.33    |
| Best CAI | 57.78 | -13.60 | 0.83 |      12     |   73.33    |
| Natural  | 42.22 | -9.30  | 0.48 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
