+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 52.44 | -80.27 | 0.63 |      52     |   76.89    |
|  Gen 2   | 51.11 | -73.50 | 0.60 |      55     |   75.56    |
|  Gen 3   | 49.78 | -86.73 | 0.56 |      53     |   76.44    |
|  Gen 4   | 52.89 | -87.73 | 0.56 |      52     |   76.44    |
|  Gen 5   | 49.78 | -73.20 | 0.57 |      47     |   79.11    |
|  Gen 6   | 48.89 | -74.00 | 0.57 |      55     |   75.56    |
|  Gen 7   | 49.78 | -70.73 | 0.57 |      50     |   77.78    |
|  Gen 8   | 48.89 | -75.27 | 0.55 |      44     |   80.44    |
|  Gen 9   | 50.22 | -81.37 | 0.54 |      48     |   78.67    |
|  Gen 10  | 50.67 | -70.10 | 0.56 |      58     |   74.22    |
|  Gen 11  | 49.33 | -79.70 | 0.53 |      43     |   80.44    |
|  Gen 12  | 48.00 | -69.20 | 0.55 |      46     |   79.56    |
|  Gen 13  | 49.33 | -72.80 | 0.54 |      52     |   76.89    |
|  Gen 14  | 50.67 | -76.50 | 0.54 |      54     |   75.56    |
|  Gen 15  | 50.67 | -74.77 | 0.54 |      57     |   74.67    |
|  Gen 16  | 52.00 | -74.37 | 0.54 |      57     |   74.22    |
|  Gen 17  | 50.22 | -76.60 | 0.54 |      57     |   74.67    |
|  Gen 18  | 51.11 | -72.63 | 0.54 |      52     |   76.89    |
|  Gen 19  | 48.44 | -78.20 | 0.53 |      47     |   78.22    |
|  Gen 20  | 48.89 | -77.40 | 0.53 |      48     |   78.67    |
|  Gen 21  | 51.11 | -74.40 | 0.54 |      52     |   76.89    |
|  Gen 22  | 54.22 | -86.07 | 0.52 |      52     |   76.89    |
|  Gen 23  | 48.00 | -76.70 | 0.53 |      52     |   76.89    |
|  Gen 24  | 48.00 | -72.50 | 0.54 |      55     |   75.56    |
|  Gen 25  | 49.78 | -77.17 | 0.53 |      48     |   78.22    |
|  Gen 26  | 51.56 | -80.27 | 0.52 |      52     |   76.44    |
|  Gen 27  | 52.00 | -73.80 | 0.53 |      55     |   75.56    |
|  Gen 28  | 48.44 | -83.00 | 0.52 |      43     |   80.44    |
|  Gen 29  | 49.78 | -70.80 | 0.53 |      56     |   75.11    |
|  Gen 30  | 50.22 | -69.00 | 0.53 |      58     |   74.22    |
|  Gen 31  | 49.78 | -69.87 | 0.53 |      43     |   80.89    |
|  Gen 32  | 51.56 | -74.63 | 0.53 |      53     |   76.00    |
|  Gen 33  | 49.78 | -82.30 | 0.51 |      48     |   78.22    |
|  Gen 34  | 49.33 | -67.27 | 0.54 |      55     |   75.56    |
|  Gen 35  | 51.11 | -71.23 | 0.53 |      49     |   78.22    |
|  Gen 36  | 49.78 | -79.17 | 0.52 |      53     |   76.00    |
|  Gen 37  | 48.44 | -69.60 | 0.53 |      55     |   75.56    |
|  Gen 38  | 52.44 | -82.87 | 0.51 |      57     |   74.22    |
|  Gen 39  | 51.56 | -75.30 | 0.52 |      52     |   76.89    |
|  Gen 40  | 49.33 | -74.40 | 0.52 |      57     |   74.22    |
|  Gen 41  | 48.44 | -67.10 | 0.53 |      44     |   80.44    |
|  Gen 42  | 48.44 | -65.10 | 0.53 |      53     |   76.00    |
|  Gen 43  | 49.78 | -67.80 | 0.53 |      55     |   75.56    |
|  Gen 44  | 48.89 | -73.63 | 0.52 |      51     |   77.33    |
|  Gen 45  | 48.89 | -72.10 | 0.52 |      48     |   78.67    |
|  Gen 46  | 50.22 | -74.20 | 0.51 |      45     |   80.00    |
|  Gen 47  | 51.56 | -77.93 | 0.51 |      53     |   76.00    |
|  Gen 48  | 50.67 | -78.40 | 0.50 |      48     |   78.22    |
|  Gen 49  | 48.00 | -68.30 | 0.52 |      55     |   75.56    |
|  Gen 50  | 49.33 | -71.97 | 0.51 |      59     |   73.33    |
| Best GC  | 54.22 | -86.07 | 0.52 |      52     |   76.89    |
| Best MFE | 48.00 | -87.90 | 0.46 |      48     |   78.67    |
| Best CAI | 52.44 | -80.27 | 0.63 |      52     |   76.89    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
