+---------+-------+------+------+-------------+------------+
|   Seq   |  GC % | MFE  | CAI  | Levenshtein | Identity % |
+---------+-------+------+------+-------------+------------+
|  Gen 1  | 53.33 | 0.00 | 1.00 |      3      |   80.00    |
|  Gen 2  | 53.33 | 0.00 | 0.85 |      1      |   93.33    |
|  Gen 3  | 46.67 | 0.00 | 0.85 |      4      |   73.33    |
|  Gen 4  | 46.67 | 0.00 | 0.84 |      2      |   86.67    |
|  Gen 5  | 46.67 | 0.00 | 0.76 |      4      |   73.33    |
|  Gen 6  | 46.67 | 0.00 | 0.72 |      3      |   80.00    |
|  Gen 7  | 40.00 | 0.00 | 0.72 |      3      |   80.00    |
|  Gen 8  | 46.67 | 0.00 | 0.65 |      2      |   86.67    |
|  Gen 9  | 40.00 | 0.00 | 0.65 |      5      |   66.67    |
|  Gen 10 | 40.00 | 0.00 | 0.64 |      3      |   80.00    |
|  Gen 11 | 46.67 | 0.00 | 0.63 |      0      |   100.00   |
|  Gen 12 | 40.00 | 0.00 | 0.61 |      4      |   73.33    |
|  Gen 13 | 33.33 | 0.00 | 0.55 |      4      |   73.33    |
|  Gen 14 | 40.00 | 0.00 | 0.55 |      4      |   73.33    |
|  Gen 15 | 40.00 | 0.00 | 0.53 |      1      |   93.33    |
|  Gen 16 | 53.33 | 0.00 | 0.50 |      3      |   80.00    |
|  Gen 17 | 40.00 | 0.00 | 0.48 |      1      |   93.33    |
|  Gen 18 | 33.33 | 0.00 | 0.47 |      5      |   66.67    |
|  Gen 19 | 46.67 | 0.00 | 0.42 |      4      |   73.33    |
|  Gen 20 | 33.33 | 0.00 | 0.41 |      2      |   86.67    |
|  Gen 21 | 46.67 | 0.00 | 0.38 |      4      |   73.33    |
|  Gen 22 | 53.33 | 0.00 | 0.85 |      1      |   93.33    |
|  Gen 23 | 40.00 | 0.00 | 0.53 |      1      |   93.33    |
|  Gen 24 | 53.33 | 0.00 | 1.00 |      3      |   80.00    |
| Natural | 46.67 | 0.00 | 0.63 |      0      |   100.00   |
+---------+-------+------+------+-------------+------------+
