+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 49.78 | -84.37 | 0.63 |      55     |   75.56    |
|  Gen 2   | 50.67 | -76.90 | 0.60 |      55     |   75.56    |
|  Gen 3   | 51.11 | -78.40 | 0.59 |      47     |   79.11    |
|  Gen 4   | 52.00 | -76.77 | 0.59 |      49     |   78.22    |
|  Gen 5   | 51.56 | -83.00 | 0.56 |      46     |   79.56    |
|  Gen 6   | 52.00 | -82.47 | 0.56 |      53     |   76.44    |
|  Gen 7   | 49.78 | -78.03 | 0.57 |      53     |   76.44    |
|  Gen 8   | 49.33 | -77.33 | 0.57 |      50     |   77.78    |
|  Gen 9   | 51.11 | -81.97 | 0.55 |      53     |   76.44    |
|  Gen 10  | 48.89 | -77.73 | 0.56 |      46     |   78.67    |
|  Gen 11  | 49.33 | -73.00 | 0.56 |      45     |   79.56    |
|  Gen 12  | 49.78 | -81.50 | 0.55 |      51     |   76.89    |
|  Gen 13  | 50.22 | -74.20 | 0.56 |      44     |   80.44    |
|  Gen 14  | 49.33 | -74.50 | 0.56 |      53     |   76.44    |
|  Gen 15  | 51.11 | -77.67 | 0.55 |      53     |   76.44    |
|  Gen 16  | 50.22 | -75.50 | 0.55 |      49     |   77.78    |
|  Gen 17  | 51.56 | -71.83 | 0.56 |      52     |   76.89    |
|  Gen 18  | 49.33 | -74.20 | 0.55 |      61     |   72.89    |
|  Gen 19  | 49.33 | -76.63 | 0.55 |      51     |   76.89    |
|  Gen 20  | 50.22 | -77.93 | 0.54 |      53     |   76.44    |
|  Gen 21  | 51.56 | -79.10 | 0.54 |      57     |   74.67    |
|  Gen 22  | 49.78 | -74.53 | 0.55 |      53     |   76.44    |
|  Gen 23  | 52.00 | -77.03 | 0.54 |      51     |   77.33    |
|  Gen 24  | 48.89 | -61.60 | 0.56 |      53     |   76.44    |
|  Gen 25  | 47.56 | -74.63 | 0.54 |      50     |   77.78    |
|  Gen 26  | 49.33 | -64.53 | 0.55 |      51     |   76.89    |
|  Gen 27  | 49.78 | -69.90 | 0.54 |      56     |   74.67    |
|  Gen 28  | 53.33 | -71.20 | 0.54 |      51     |   77.33    |
|  Gen 29  | 48.89 | -80.10 | 0.53 |      58     |   74.22    |
|  Gen 30  | 49.33 | -70.30 | 0.54 |      52     |   76.89    |
|  Gen 31  | 48.44 | -80.53 | 0.52 |      51     |   77.33    |
|  Gen 32  | 50.22 | -77.50 | 0.53 |      53     |   76.44    |
|  Gen 33  | 47.11 | -71.80 | 0.54 |      50     |   77.78    |
|  Gen 34  | 50.22 | -67.77 | 0.54 |      51     |   77.33    |
|  Gen 35  | 48.00 | -74.57 | 0.53 |      43     |   80.00    |
|  Gen 36  | 49.78 | -72.40 | 0.53 |      56     |   75.11    |
|  Gen 37  | 51.11 | -82.03 | 0.52 |      46     |   79.56    |
|  Gen 38  | 49.78 | -75.70 | 0.52 |      49     |   77.78    |
|  Gen 39  | 50.22 | -72.50 | 0.53 |      53     |   76.44    |
|  Gen 40  | 45.78 | -72.10 | 0.53 |      41     |   81.33    |
|  Gen 41  | 51.11 | -72.10 | 0.53 |      44     |   80.44    |
|  Gen 42  | 48.89 | -80.50 | 0.51 |      48     |   78.67    |
|  Gen 43  | 49.78 | -71.03 | 0.53 |      52     |   76.89    |
|  Gen 44  | 50.67 | -77.70 | 0.51 |      49     |   78.22    |
|  Gen 45  | 48.00 | -71.23 | 0.52 |      51     |   76.89    |
|  Gen 46  | 48.44 | -78.40 | 0.51 |      55     |   75.56    |
|  Gen 47  | 48.44 | -69.10 | 0.52 |      61     |   72.44    |
|  Gen 48  | 48.44 | -73.30 | 0.52 |      47     |   78.22    |
|  Gen 49  | 51.11 | -69.93 | 0.52 |      54     |   76.00    |
|  Gen 50  | 53.33 | -81.70 | 0.50 |      45     |   80.00    |
| Best GC  | 53.33 | -81.70 | 0.50 |      45     |   80.00    |
| Best MFE | 49.78 | -84.37 | 0.63 |      55     |   75.56    |
| Best CAI | 49.78 | -84.37 | 0.63 |      55     |   75.56    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
