+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 50.00 | -291.13 | 0.51 |     159     |   76.75    |
|  Gen 2   | 49.12 | -277.90 | 0.52 |     159     |   76.46    |
|  Gen 3   | 50.58 | -277.57 | 0.51 |     161     |   76.32    |
|  Gen 4   | 50.15 | -284.47 | 0.50 |     156     |   76.90    |
|  Gen 5   | 49.85 | -272.43 | 0.52 |     167     |   75.44    |
|  Gen 6   | 48.68 | -268.70 | 0.52 |     171     |   74.27    |
|  Gen 7   | 47.81 | -264.00 | 0.52 |     160     |   76.46    |
|  Gen 8   | 50.73 | -283.17 | 0.49 |     162     |   76.32    |
|  Gen 9   | 48.25 | -268.50 | 0.51 |     163     |   76.02    |
|  Gen 10  | 50.29 | -280.33 | 0.49 |     178     |   73.68    |
|  Gen 11  | 50.58 | -268.60 | 0.51 |     165     |   75.44    |
|  Gen 12  | 50.00 | -279.07 | 0.49 |     169     |   75.00    |
|  Gen 13  | 48.10 | -271.20 | 0.50 |     162     |   76.17    |
|  Gen 14  | 49.71 | -275.43 | 0.49 |     166     |   75.73    |
|  Gen 15  | 48.25 | -268.90 | 0.50 |     163     |   75.88    |
|  Gen 16  | 49.71 | -270.23 | 0.50 |     176     |   74.12    |
|  Gen 17  | 49.42 | -272.03 | 0.50 |     162     |   76.32    |
|  Gen 18  | 48.83 | -281.00 | 0.48 |     161     |   76.32    |
|  Gen 19  | 47.66 | -267.27 | 0.50 |     157     |   76.90    |
|  Gen 20  | 49.12 | -285.27 | 0.47 |     162     |   75.88    |
|  Gen 21  | 47.66 | -266.97 | 0.50 |     174     |   74.42    |
|  Gen 22  | 48.25 | -273.60 | 0.49 |     171     |   74.85    |
|  Gen 23  | 47.66 | -274.03 | 0.49 |     168     |   75.44    |
|  Gen 24  | 47.37 | -270.50 | 0.49 |     168     |   75.29    |
|  Gen 25  | 48.25 | -271.60 | 0.49 |     172     |   74.42    |
|  Gen 26  | 48.83 | -277.60 | 0.48 |     171     |   74.56    |
|  Gen 27  | 47.66 | -260.30 | 0.51 |     167     |   75.29    |
|  Gen 28  | 48.25 | -287.33 | 0.46 |     165     |   75.73    |
|  Gen 29  | 48.10 | -271.00 | 0.49 |     178     |   73.68    |
|  Gen 30  | 48.98 | -262.23 | 0.50 |     166     |   75.73    |
|  Gen 31  | 48.83 | -277.83 | 0.48 |     167     |   75.58    |
|  Gen 32  | 49.27 | -285.27 | 0.46 |     158     |   76.61    |
|  Gen 33  | 49.27 | -269.47 | 0.49 |     164     |   75.73    |
|  Gen 34  | 47.37 | -276.80 | 0.48 |     170     |   75.00    |
|  Gen 35  | 48.68 | -274.93 | 0.48 |     164     |   75.44    |
|  Gen 36  | 49.27 | -272.03 | 0.48 |     180     |   73.25    |
|  Gen 37  | 49.42 | -283.17 | 0.46 |     171     |   74.56    |
|  Gen 38  | 48.10 | -257.40 | 0.50 |     168     |   75.29    |
|  Gen 39  | 48.25 | -263.97 | 0.49 |     160     |   76.02    |
|  Gen 40  | 46.78 | -264.20 | 0.49 |     167     |   75.44    |
|  Gen 41  | 47.81 | -261.47 | 0.50 |     176     |   73.98    |
|  Gen 42  | 47.08 | -277.37 | 0.47 |     175     |   74.12    |
|  Gen 43  | 48.83 | -265.27 | 0.49 |     183     |   73.25    |
|  Gen 44  | 48.25 | -275.27 | 0.47 |     182     |   73.25    |
|  Gen 45  | 49.42 | -279.87 | 0.46 |     165     |   75.73    |
|  Gen 46  | 47.81 | -268.40 | 0.48 |     168     |   75.00    |
|  Gen 47  | 48.98 | -260.70 | 0.49 |     171     |   74.71    |
|  Gen 48  | 49.12 | -266.83 | 0.48 |     157     |   76.90    |
|  Gen 49  | 48.98 | -261.90 | 0.49 |     178     |   73.68    |
|  Gen 50  | 46.93 | -262.03 | 0.49 |     173     |   74.42    |
| Best GC  | 50.73 | -283.17 | 0.49 |     162     |   76.32    |
| Best MFE | 50.00 | -291.13 | 0.51 |     159     |   76.75    |
| Best CAI | 47.81 | -264.00 | 0.52 |     160     |   76.46    |
| Natural  | 51.17 | -279.80 | 0.59 |      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
