+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 52.44 | -81.60 | 0.61 |      52     |   76.89    |
|  Gen 2   | 52.00 | -81.30 | 0.61 |      53     |   76.00    |
|  Gen 3   | 52.00 | -80.27 | 0.58 |      54     |   76.00    |
|  Gen 4   | 52.00 | -81.07 | 0.57 |      53     |   76.00    |
|  Gen 5   | 53.33 | -77.30 | 0.56 |      48     |   78.22    |
|  Gen 6   | 49.78 | -79.60 | 0.62 |      49     |   78.22    |
|  Gen 7   | 52.89 | -76.83 | 0.57 |      52     |   76.44    |
|  Gen 8   | 52.44 | -77.00 | 0.58 |      50     |   77.78    |
|  Gen 9   | 51.11 | -80.80 | 0.57 |      45     |   79.56    |
|  Gen 10  | 50.67 | -80.93 | 0.56 |      55     |   75.56    |
|  Gen 11  | 49.33 | -80.00 | 0.59 |      51     |   77.33    |
|  Gen 12  | 50.22 | -81.43 | 0.56 |      51     |   77.33    |
|  Gen 13  | 52.00 | -75.70 | 0.57 |      47     |   79.11    |
|  Gen 14  | 51.11 | -80.53 | 0.54 |      55     |   75.11    |
|  Gen 15  | 50.67 | -76.77 | 0.59 |      54     |   75.56    |
|  Gen 16  | 51.11 | -80.07 | 0.54 |      55     |   74.67    |
|  Gen 17  | 51.11 | -82.57 | 0.51 |      56     |   75.11    |
|  Gen 18  | 51.11 | -80.57 | 0.52 |      53     |   76.44    |
|  Gen 19  | 50.67 | -79.53 | 0.54 |      56     |   75.11    |
|  Gen 20  | 52.44 | -74.83 | 0.54 |      50     |   77.78    |
|  Gen 21  | 51.11 | -76.60 | 0.55 |      53     |   76.44    |
|  Gen 22  | 51.56 | -76.67 | 0.54 |      51     |   76.89    |
|  Gen 23  | 52.00 | -78.30 | 0.50 |      50     |   77.78    |
|  Gen 24  | 50.67 | -83.70 | 0.47 |      47     |   79.11    |
|  Gen 25  | 49.33 | -80.30 | 0.54 |      52     |   76.89    |
|  Gen 26  | 50.67 | -79.90 | 0.50 |      47     |   79.11    |
|  Gen 27  | 48.44 | -82.30 | 0.53 |      48     |   77.78    |
|  Gen 28  | 50.67 | -75.77 | 0.54 |      52     |   76.89    |
|  Gen 29  | 49.78 | -75.23 | 0.55 |      51     |   76.89    |
|  Gen 30  | 50.22 | -75.27 | 0.52 |      50     |   77.33    |
|  Gen 31  | 50.67 | -73.07 | 0.53 |      45     |   80.00    |
|  Gen 32  | 49.78 | -77.20 | 0.51 |      52     |   76.89    |
|  Gen 33  | 49.33 | -80.80 | 0.49 |      53     |   76.44    |
|  Gen 34  | 48.44 | -76.97 | 0.54 |      47     |   79.11    |
|  Gen 35  | 49.33 | -76.20 | 0.53 |      55     |   75.11    |
|  Gen 36  | 48.89 | -74.40 | 0.54 |      54     |   76.00    |
|  Gen 37  | 50.67 | -74.03 | 0.50 |      45     |   80.00    |
|  Gen 38  | 50.67 | -70.43 | 0.53 |      51     |   76.89    |
|  Gen 39  | 51.11 | -72.90 | 0.50 |      55     |   75.56    |
|  Gen 40  | 48.00 | -74.40 | 0.56 |      50     |   77.78    |
|  Gen 41  | 47.56 | -77.30 | 0.53 |      53     |   76.00    |
|  Gen 42  | 46.22 | -77.80 | 0.56 |      45     |   80.00    |
|  Gen 43  | 48.00 | -74.23 | 0.55 |      50     |   77.78    |
|  Gen 44  | 49.33 | -73.57 | 0.52 |      48     |   78.67    |
|  Gen 45  | 48.89 | -72.80 | 0.53 |      51     |   77.33    |
|  Gen 46  | 47.11 | -74.43 | 0.56 |      49     |   78.22    |
|  Gen 47  | 46.67 | -78.10 | 0.52 |      41     |   81.78    |
|  Gen 48  | 48.44 | -75.30 | 0.51 |      55     |   75.11    |
|  Gen 49  | 48.00 | -71.70 | 0.55 |      60     |   73.33    |
|  Gen 50  | 49.33 | -72.50 | 0.51 |      56     |   75.11    |
| Best GC  | 53.33 | -77.30 | 0.56 |      48     |   78.22    |
| Best MFE | 50.67 | -83.70 | 0.47 |      47     |   79.11    |
| Best CAI | 49.78 | -79.60 | 0.62 |      49     |   78.22    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
