+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 50.22 | -79.90 | 0.62 |      59     |   73.33    |
|  Gen 2   | 52.44 | -86.60 | 0.61 |      51     |   77.33    |
|  Gen 3   | 53.78 | -83.80 | 0.61 |      48     |   78.67    |
|  Gen 4   | 54.22 | -75.97 | 0.60 |      54     |   75.56    |
|  Gen 5   | 48.44 | -76.93 | 0.59 |      56     |   75.11    |
|  Gen 6   | 49.33 | -78.27 | 0.57 |      48     |   77.78    |
|  Gen 7   | 50.22 | -76.50 | 0.57 |      46     |   79.56    |
|  Gen 8   | 53.78 | -69.40 | 0.58 |      56     |   75.11    |
|  Gen 9   | 50.22 | -74.10 | 0.56 |      45     |   80.00    |
|  Gen 10  | 49.78 | -69.67 | 0.57 |      53     |   76.44    |
|  Gen 11  | 47.11 | -84.33 | 0.55 |      44     |   80.44    |
|  Gen 12  | 52.00 | -81.10 | 0.55 |      43     |   80.44    |
|  Gen 13  | 49.78 | -73.40 | 0.56 |      49     |   78.22    |
|  Gen 14  | 51.56 | -77.17 | 0.55 |      47     |   79.11    |
|  Gen 15  | 48.44 | -71.37 | 0.56 |      53     |   76.00    |
|  Gen 16  | 50.67 | -74.90 | 0.55 |      52     |   76.89    |
|  Gen 17  | 49.33 | -75.47 | 0.55 |      47     |   79.11    |
|  Gen 18  | 49.78 | -82.80 | 0.53 |      55     |   75.11    |
|  Gen 19  | 50.67 | -67.40 | 0.56 |      50     |   76.44    |
|  Gen 20  | 50.22 | -72.13 | 0.55 |      56     |   75.11    |
|  Gen 21  | 46.67 | -77.33 | 0.54 |      47     |   78.22    |
|  Gen 22  | 49.33 | -70.37 | 0.55 |      53     |   76.00    |
|  Gen 23  | 48.89 | -69.23 | 0.55 |      52     |   76.89    |
|  Gen 24  | 48.00 | -67.40 | 0.54 |      46     |   79.56    |
|  Gen 25  | 47.56 | -67.10 | 0.54 |      45     |   79.56    |
|  Gen 26  | 48.44 | -79.40 | 0.52 |      54     |   76.00    |
|  Gen 27  | 52.00 | -77.37 | 0.52 |      49     |   78.22    |
|  Gen 28  | 50.22 | -75.00 | 0.53 |      50     |   77.78    |
|  Gen 29  | 51.11 | -82.20 | 0.52 |      55     |   75.56    |
|  Gen 30  | 48.89 | -70.77 | 0.53 |      53     |   76.00    |
|  Gen 31  | 51.11 | -70.47 | 0.53 |      51     |   77.33    |
|  Gen 32  | 48.44 | -69.43 | 0.53 |      53     |   76.00    |
|  Gen 33  | 48.89 | -70.90 | 0.53 |      59     |   73.78    |
|  Gen 34  | 45.33 | -72.17 | 0.53 |      48     |   78.67    |
|  Gen 35  | 50.67 | -72.57 | 0.52 |      64     |   71.11    |
|  Gen 36  | 47.11 | -76.43 | 0.51 |      61     |   72.89    |
|  Gen 37  | 52.00 | -73.23 | 0.52 |      65     |   71.11    |
|  Gen 38  | 48.89 | -64.37 | 0.53 |      51     |   76.89    |
|  Gen 39  | 50.67 | -69.70 | 0.52 |      46     |   79.56    |
|  Gen 40  | 48.00 | -71.00 | 0.52 |      43     |   80.89    |
|  Gen 41  | 50.22 | -78.03 | 0.51 |      50     |   77.33    |
|  Gen 42  | 49.78 | -74.60 | 0.51 |      62     |   72.00    |
|  Gen 43  | 51.56 | -71.63 | 0.52 |      56     |   75.11    |
|  Gen 44  | 49.78 | -74.83 | 0.51 |      53     |   76.44    |
|  Gen 45  | 50.22 | -71.00 | 0.52 |      52     |   76.89    |
|  Gen 46  | 46.67 | -71.50 | 0.51 |      59     |   73.78    |
|  Gen 47  | 47.11 | -69.73 | 0.52 |      53     |   76.44    |
|  Gen 48  | 48.44 | -71.00 | 0.51 |      54     |   76.00    |
|  Gen 49  | 48.00 | -73.90 | 0.51 |      50     |   77.33    |
|  Gen 50  | 47.56 | -69.73 | 0.51 |      57     |   74.67    |
| Best GC  | 54.22 | -75.97 | 0.60 |      54     |   75.56    |
| Best MFE | 52.44 | -86.60 | 0.61 |      51     |   77.33    |
| Best CAI | 50.22 | -79.90 | 0.62 |      59     |   73.33    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
