+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 48.94 | -162.43 | 0.59 |      96     |   77.07    |
|  Gen 2   | 48.94 | -162.07 | 0.60 |      91     |   78.49    |
|  Gen 3   | 49.17 | -161.70 | 0.61 |      90     |   78.72    |
|  Gen 4   | 49.17 | -161.37 | 0.60 |      93     |   78.01    |
|  Gen 5   | 49.41 | -160.27 | 0.60 |      95     |   77.54    |
|  Gen 6   | 49.65 | -158.90 | 0.60 |      91     |   78.49    |
|  Gen 7   | 49.88 | -158.47 | 0.61 |      94     |   77.78    |
|  Gen 8   | 48.94 | -159.20 | 0.61 |      96     |   77.30    |
|  Gen 9   | 50.12 | -157.80 | 0.62 |      94     |   77.78    |
|  Gen 10  | 50.12 | -157.70 | 0.61 |      95     |   77.30    |
|  Gen 11  | 49.17 | -157.97 | 0.61 |      92     |   78.25    |
|  Gen 12  | 48.94 | -158.10 | 0.56 |      95     |   77.54    |
|  Gen 13  | 49.65 | -157.27 | 0.60 |      94     |   77.78    |
|  Gen 14  | 48.23 | -158.37 | 0.58 |      96     |   77.30    |
|  Gen 15  | 49.65 | -156.50 | 0.60 |      96     |   77.30    |
|  Gen 16  | 48.46 | -157.40 | 0.59 |      97     |   77.07    |
|  Gen 17  | 48.94 | -156.50 | 0.58 |      94     |   77.78    |
|  Gen 18  | 48.94 | -156.33 | 0.59 |      94     |   77.78    |
|  Gen 19  | 49.17 | -156.00 | 0.58 |      99     |   76.60    |
|  Gen 20  | 48.70 | -156.43 | 0.57 |     100     |   76.36    |
|  Gen 21  | 49.17 | -155.73 | 0.60 |      96     |   77.30    |
|  Gen 22  | 49.17 | -155.47 | 0.60 |      94     |   77.78    |
|  Gen 23  | 48.70 | -155.93 | 0.60 |      98     |   76.83    |
|  Gen 24  | 49.17 | -155.43 | 0.60 |      91     |   78.49    |
|  Gen 25  | 49.41 | -155.17 | 0.60 |      96     |   77.30    |
|  Gen 26  | 50.12 | -153.87 | 0.62 |      97     |   77.07    |
|  Gen 27  | 49.88 | -153.80 | 0.61 |      95     |   77.54    |
|  Gen 28  | 48.94 | -154.73 | 0.59 |      93     |   78.01    |
|  Gen 29  | 48.94 | -154.40 | 0.59 |      95     |   77.30    |
|  Gen 30  | 48.70 | -154.57 | 0.58 |      98     |   76.83    |
|  Gen 31  | 49.17 | -153.93 | 0.60 |      96     |   77.30    |
|  Gen 32  | 48.94 | -154.17 | 0.58 |      98     |   76.83    |
|  Gen 33  | 49.17 | -153.87 | 0.60 |      92     |   78.25    |
|  Gen 34  | 48.94 | -154.07 | 0.58 |      96     |   77.30    |
|  Gen 35  | 49.41 | -153.47 | 0.61 |      94     |   77.78    |
|  Gen 36  | 49.41 | -153.47 | 0.60 |      99     |   76.60    |
|  Gen 37  | 49.65 | -153.20 | 0.58 |      94     |   77.78    |
|  Gen 38  | 48.70 | -153.93 | 0.58 |     101     |   76.12    |
|  Gen 39  | 48.70 | -153.77 | 0.59 |      95     |   77.54    |
|  Gen 40  | 48.94 | -153.37 | 0.60 |      97     |   77.07    |
|  Gen 41  | 49.17 | -153.10 | 0.60 |      95     |   77.54    |
|  Gen 42  | 48.70 | -153.50 | 0.60 |      96     |   77.07    |
|  Gen 43  | 47.99 | -153.90 | 0.57 |     100     |   76.36    |
|  Gen 44  | 49.65 | -152.10 | 0.59 |      96     |   77.30    |
|  Gen 45  | 47.99 | -153.60 | 0.58 |      96     |   77.07    |
|  Gen 46  | 48.46 | -153.03 | 0.59 |      98     |   76.83    |
|  Gen 47  | 48.94 | -152.40 | 0.61 |      93     |   78.01    |
|  Gen 48  | 49.17 | -152.03 | 0.60 |      97     |   77.07    |
|  Gen 49  | 48.70 | -152.50 | 0.59 |      93     |   78.01    |
|  Gen 50  | 49.17 | -151.90 | 0.59 |      97     |   76.83    |
| Best GC  | 50.12 | -153.87 | 0.62 |      97     |   77.07    |
| Best MFE | 48.94 | -162.43 | 0.59 |      96     |   77.07    |
| Best CAI | 50.12 | -157.80 | 0.62 |      94     |   77.78    |
| Natural  | 44.68 | -152.30 | 0.47 |      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
