+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 49.65 | -164.63 | 0.56 |      99     |   76.36    |
|  Gen 2   | 50.12 | -177.13 | 0.53 |      92     |   78.25    |
|  Gen 3   | 51.06 | -171.40 | 0.50 |      97     |   77.07    |
|  Gen 4   | 49.65 | -167.27 | 0.50 |     105     |   74.70    |
|  Gen 5   | 50.12 | -164.90 | 0.50 |     104     |   75.18    |
|  Gen 6   | 49.17 | -178.57 | 0.48 |      95     |   77.54    |
|  Gen 7   | 49.88 | -166.43 | 0.50 |     112     |   73.29    |
|  Gen 8   | 48.23 | -168.57 | 0.49 |     102     |   75.89    |
|  Gen 9   | 48.46 | -160.67 | 0.50 |     103     |   75.41    |
|  Gen 10  | 47.28 | -159.80 | 0.50 |      99     |   76.60    |
|  Gen 11  | 48.46 | -158.87 | 0.50 |     101     |   76.12    |
|  Gen 12  | 49.88 | -155.60 | 0.50 |      95     |   77.54    |
|  Gen 13  | 51.06 | -160.77 | 0.49 |     121     |   70.69    |
|  Gen 14  | 50.59 | -164.47 | 0.49 |      99     |   76.12    |
|  Gen 15  | 47.28 | -169.57 | 0.48 |     102     |   75.65    |
|  Gen 16  | 48.94 | -160.20 | 0.49 |      98     |   76.60    |
|  Gen 17  | 46.57 | -167.27 | 0.48 |     104     |   75.18    |
|  Gen 18  | 49.17 | -162.43 | 0.49 |      97     |   77.07    |
|  Gen 19  | 50.35 | -158.83 | 0.49 |     114     |   72.81    |
|  Gen 20  | 49.65 | -149.93 | 0.51 |     104     |   75.41    |
|  Gen 21  | 49.41 | -160.70 | 0.49 |     108     |   74.47    |
|  Gen 22  | 49.17 | -156.53 | 0.49 |     103     |   75.65    |
|  Gen 23  | 49.41 | -165.67 | 0.48 |      93     |   78.01    |
|  Gen 24  | 50.35 | -162.47 | 0.48 |     118     |   71.87    |
|  Gen 25  | 50.83 | -172.73 | 0.46 |     104     |   75.41    |
|  Gen 26  | 47.75 | -162.47 | 0.48 |     107     |   74.47    |
|  Gen 27  | 47.99 | -152.70 | 0.49 |      94     |   77.78    |
|  Gen 28  | 50.59 | -172.60 | 0.46 |     100     |   76.36    |
|  Gen 29  | 48.70 | -165.20 | 0.47 |     104     |   75.18    |
|  Gen 30  | 47.75 | -169.13 | 0.47 |     107     |   74.47    |
|  Gen 31  | 47.99 | -159.90 | 0.48 |     102     |   75.65    |
|  Gen 32  | 49.41 | -156.40 | 0.48 |     115     |   72.34    |
|  Gen 33  | 47.99 | -152.07 | 0.49 |      97     |   77.07    |
|  Gen 34  | 48.70 | -168.97 | 0.46 |     115     |   72.81    |
|  Gen 35  | 47.75 | -161.83 | 0.47 |      97     |   77.07    |
|  Gen 36  | 49.17 | -161.93 | 0.47 |     107     |   74.23    |
|  Gen 37  | 46.81 | -157.87 | 0.48 |     104     |   75.41    |
|  Gen 38  | 46.81 | -160.30 | 0.47 |     106     |   74.47    |
|  Gen 39  | 46.57 | -162.47 | 0.47 |     110     |   74.00    |
|  Gen 40  | 46.34 | -162.33 | 0.47 |     100     |   76.36    |
|  Gen 41  | 48.46 | -160.13 | 0.47 |     109     |   74.00    |
|  Gen 42  | 47.52 | -157.60 | 0.47 |     114     |   72.81    |
|  Gen 43  | 48.46 | -154.63 | 0.48 |     105     |   74.47    |
|  Gen 44  | 48.23 | -154.90 | 0.47 |     100     |   76.12    |
|  Gen 45  | 47.75 | -153.07 | 0.48 |     101     |   75.89    |
|  Gen 46  | 47.75 | -153.10 | 0.48 |     102     |   75.89    |
|  Gen 47  | 45.39 | -168.57 | 0.45 |      98     |   76.36    |
|  Gen 48  | 48.23 | -160.33 | 0.46 |     105     |   75.18    |
|  Gen 49  | 50.35 | -161.63 | 0.46 |     114     |   73.05    |
|  Gen 50  | 50.35 | -160.07 | 0.46 |     105     |   75.18    |
| Best GC  | 51.06 | -171.40 | 0.50 |      97     |   77.07    |
| Best MFE | 49.17 | -178.57 | 0.48 |      95     |   77.54    |
| Best CAI | 49.65 | -164.63 | 0.56 |      99     |   76.36    |
| Natural  | 44.68 | -152.30 | 0.47 |      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
