+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 50.83 | -163.77 | 0.55 |     101     |   76.12    |
|  Gen 2   | 49.17 | -169.20 | 0.54 |     110     |   73.52    |
|  Gen 3   | 49.17 | -159.40 | 0.53 |     105     |   74.70    |
|  Gen 4   | 49.17 | -160.60 | 0.53 |      90     |   78.72    |
|  Gen 5   | 49.65 | -165.73 | 0.53 |     108     |   74.23    |
|  Gen 6   | 49.88 | -168.67 | 0.53 |     108     |   74.23    |
|  Gen 7   | 50.59 | -168.20 | 0.52 |      95     |   77.07    |
|  Gen 8   | 49.17 | -161.67 | 0.52 |      93     |   78.01    |
|  Gen 9   | 50.59 | -160.57 | 0.52 |     101     |   75.65    |
|  Gen 10  | 50.35 | -163.20 | 0.52 |     108     |   74.47    |
|  Gen 11  | 51.77 | -167.70 | 0.52 |      94     |   77.54    |
|  Gen 12  | 49.17 | -172.73 | 0.51 |     105     |   74.94    |
|  Gen 13  | 50.59 | -159.67 | 0.51 |     103     |   75.18    |
|  Gen 14  | 50.83 | -181.20 | 0.51 |     103     |   75.65    |
|  Gen 15  | 50.59 | -165.90 | 0.51 |      97     |   76.83    |
|  Gen 16  | 50.12 | -168.13 | 0.51 |     103     |   75.65    |
|  Gen 17  | 50.35 | -154.40 | 0.51 |     105     |   74.47    |
|  Gen 18  | 47.75 | -157.40 | 0.51 |      99     |   76.36    |
|  Gen 19  | 50.35 | -168.33 | 0.51 |     112     |   73.52    |
|  Gen 20  | 50.83 | -168.43 | 0.50 |      92     |   78.01    |
|  Gen 21  | 50.35 | -153.30 | 0.50 |      99     |   76.60    |
|  Gen 22  | 46.81 | -150.63 | 0.50 |     103     |   75.18    |
|  Gen 23  | 50.12 | -162.23 | 0.50 |     104     |   75.41    |
|  Gen 24  | 47.75 | -153.27 | 0.50 |     102     |   75.89    |
|  Gen 25  | 49.17 | -161.73 | 0.50 |     105     |   74.70    |
|  Gen 26  | 49.41 | -151.90 | 0.50 |     109     |   74.23    |
|  Gen 27  | 49.41 | -160.13 | 0.50 |      98     |   76.83    |
|  Gen 28  | 49.88 | -153.10 | 0.50 |     104     |   74.70    |
|  Gen 29  | 49.41 | -147.90 | 0.50 |      94     |   77.30    |
|  Gen 30  | 46.34 | -161.03 | 0.49 |      92     |   78.25    |
|  Gen 31  | 49.65 | -165.00 | 0.49 |     104     |   74.47    |
|  Gen 32  | 48.94 | -160.80 | 0.49 |      97     |   77.07    |
|  Gen 33  | 46.81 | -160.73 | 0.49 |     101     |   75.89    |
|  Gen 34  | 47.99 | -157.30 | 0.49 |      98     |   76.36    |
|  Gen 35  | 48.94 | -147.87 | 0.49 |     111     |   73.52    |
|  Gen 36  | 49.41 | -171.90 | 0.49 |     108     |   74.23    |
|  Gen 37  | 47.52 | -155.50 | 0.49 |     102     |   75.65    |
|  Gen 38  | 48.70 | -155.63 | 0.49 |     100     |   75.89    |
|  Gen 39  | 47.99 | -159.63 | 0.49 |     113     |   73.29    |
|  Gen 40  | 49.17 | -162.20 | 0.49 |      98     |   76.60    |
|  Gen 41  | 48.94 | -157.13 | 0.49 |     103     |   75.18    |
|  Gen 42  | 49.17 | -149.70 | 0.49 |     100     |   76.36    |
|  Gen 43  | 48.94 | -161.50 | 0.49 |     103     |   75.41    |
|  Gen 44  | 48.46 | -167.23 | 0.49 |      99     |   76.36    |
|  Gen 45  | 49.17 | -153.93 | 0.49 |     107     |   74.47    |
|  Gen 46  | 46.81 | -154.07 | 0.49 |     105     |   74.70    |
|  Gen 47  | 48.23 | -156.67 | 0.49 |     101     |   76.12    |
|  Gen 48  | 49.65 | -158.50 | 0.49 |      97     |   76.36    |
|  Gen 49  | 50.35 | -168.73 | 0.49 |     108     |   74.23    |
|  Gen 50  | 47.99 | -152.03 | 0.48 |      96     |   77.07    |
| Best GC  | 51.77 | -167.70 | 0.52 |      94     |   77.54    |
| Best MFE | 50.83 | -181.20 | 0.51 |     103     |   75.65    |
| Best CAI | 50.83 | -163.77 | 0.55 |     101     |   76.12    |
| Natural  | 44.68 | -152.30 | 0.47 |      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
