+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 47.28 | -162.50 | 0.52 |      92     |   77.78    |
|  Gen 2   | 50.35 | -160.40 | 0.51 |      86     |   79.67    |
|  Gen 3   | 48.70 | -161.70 | 0.51 |     108     |   74.47    |
|  Gen 4   | 47.99 | -157.83 | 0.50 |      91     |   78.25    |
|  Gen 5   | 49.65 | -161.73 | 0.49 |      92     |   78.01    |
|  Gen 6   | 48.70 | -160.30 | 0.50 |      99     |   76.60    |
|  Gen 7   | 52.72 | -172.57 | 0.48 |     102     |   75.65    |
|  Gen 8   | 48.94 | -164.50 | 0.49 |     107     |   74.47    |
|  Gen 9   | 49.17 | -164.03 | 0.49 |     100     |   76.36    |
|  Gen 10  | 48.94 | -148.63 | 0.51 |      96     |   77.30    |
|  Gen 11  | 49.17 | -160.07 | 0.49 |     107     |   74.70    |
|  Gen 12  | 51.06 | -170.10 | 0.47 |      91     |   78.25    |
|  Gen 13  | 48.46 | -164.87 | 0.48 |     103     |   74.94    |
|  Gen 14  | 49.65 | -157.87 | 0.49 |     117     |   72.10    |
|  Gen 15  | 49.88 | -164.00 | 0.48 |     110     |   74.00    |
|  Gen 16  | 48.94 | -158.70 | 0.48 |      94     |   77.78    |
|  Gen 17  | 47.52 | -162.83 | 0.48 |     102     |   75.65    |
|  Gen 18  | 46.81 | -153.50 | 0.49 |      97     |   77.07    |
|  Gen 19  | 47.28 | -161.80 | 0.48 |     100     |   76.12    |
|  Gen 20  | 47.75 | -153.73 | 0.49 |      96     |   76.83    |
|  Gen 21  | 50.59 | -152.97 | 0.49 |     104     |   75.18    |
|  Gen 22  | 47.75 | -152.43 | 0.49 |      92     |   78.01    |
|  Gen 23  | 47.52 | -158.83 | 0.48 |      99     |   76.12    |
|  Gen 24  | 49.65 | -168.53 | 0.46 |     106     |   74.70    |
|  Gen 25  | 47.28 | -160.87 | 0.47 |     102     |   75.41    |
|  Gen 26  | 47.75 | -160.13 | 0.47 |     107     |   74.70    |
|  Gen 27  | 48.70 | -169.90 | 0.46 |     107     |   74.23    |
|  Gen 28  | 47.28 | -151.40 | 0.48 |     100     |   76.12    |
|  Gen 29  | 48.94 | -160.77 | 0.47 |     110     |   74.00    |
|  Gen 30  | 50.35 | -146.93 | 0.49 |     102     |   75.65    |
|  Gen 31  | 46.81 | -150.93 | 0.48 |     108     |   74.00    |
|  Gen 32  | 48.23 | -149.77 | 0.48 |     103     |   75.65    |
|  Gen 33  | 48.46 | -165.70 | 0.46 |     100     |   75.65    |
|  Gen 34  | 46.81 | -163.70 | 0.46 |      89     |   78.72    |
|  Gen 35  | 48.94 | -154.83 | 0.47 |      97     |   76.83    |
|  Gen 36  | 47.75 | -143.87 | 0.49 |     103     |   75.41    |
|  Gen 37  | 48.46 | -163.57 | 0.46 |     103     |   75.65    |
|  Gen 38  | 48.94 | -168.17 | 0.45 |      98     |   76.83    |
|  Gen 39  | 47.28 | -166.80 | 0.45 |     103     |   75.41    |
|  Gen 40  | 48.23 | -154.57 | 0.47 |     100     |   76.36    |
|  Gen 41  | 47.75 | -156.20 | 0.47 |     101     |   76.12    |
|  Gen 42  | 49.17 | -157.07 | 0.47 |     103     |   75.65    |
|  Gen 43  | 49.88 | -149.27 | 0.48 |     100     |   76.36    |
|  Gen 44  | 47.75 | -150.80 | 0.47 |     110     |   74.00    |
|  Gen 45  | 49.17 | -143.40 | 0.48 |     100     |   76.36    |
|  Gen 46  | 47.52 | -160.63 | 0.46 |     105     |   74.70    |
|  Gen 47  | 48.46 | -159.33 | 0.46 |     110     |   73.76    |
|  Gen 48  | 49.17 | -166.63 | 0.45 |     109     |   74.23    |
|  Gen 49  | 51.30 | -153.50 | 0.47 |     107     |   74.47    |
|  Gen 50  | 48.70 | -148.50 | 0.48 |     101     |   76.12    |
| Best GC  | 52.72 | -172.57 | 0.48 |     102     |   75.65    |
| Best MFE | 48.23 | -175.03 | 0.43 |     112     |   73.52    |
| Best CAI | 47.28 | -162.50 | 0.52 |      92     |   77.78    |
| Natural  | 44.68 | -152.30 | 0.47 |      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
