+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 48.00 | -77.00 | 0.48 |      46     |   79.56    |
|  Gen 2   | 49.78 | -73.10 | 0.54 |      51     |   77.33    |
|  Gen 3   | 48.44 | -73.13 | 0.48 |      56     |   75.11    |
|  Gen 4   | 49.33 | -71.80 | 0.53 |      45     |   80.00    |
|  Gen 5   | 48.00 | -71.40 | 0.50 |      47     |   79.11    |
|  Gen 6   | 46.22 | -72.90 | 0.46 |      46     |   79.56    |
|  Gen 7   | 49.33 | -69.67 | 0.53 |      47     |   79.11    |
|  Gen 8   | 46.67 | -72.30 | 0.42 |      51     |   77.33    |
|  Gen 9   | 48.44 | -70.30 | 0.52 |      41     |   81.78    |
|  Gen 10  | 49.78 | -68.90 | 0.54 |      47     |   79.11    |
|  Gen 11  | 49.33 | -69.30 | 0.52 |      54     |   76.00    |
|  Gen 12  | 49.33 | -68.77 | 0.52 |      46     |   79.56    |
|  Gen 13  | 48.89 | -69.00 | 0.51 |      54     |   76.00    |
|  Gen 14  | 47.11 | -70.50 | 0.46 |      54     |   76.00    |
|  Gen 15  | 46.67 | -70.90 | 0.48 |      49     |   78.22    |
|  Gen 16  | 48.44 | -68.60 | 0.51 |      46     |   79.56    |
|  Gen 17  | 49.78 | -67.20 | 0.51 |      49     |   78.22    |
|  Gen 18  | 47.11 | -69.53 | 0.48 |      48     |   78.67    |
|  Gen 19  | 48.44 | -68.10 | 0.52 |      44     |   80.44    |
|  Gen 20  | 47.56 | -68.97 | 0.47 |      53     |   76.44    |
|  Gen 21  | 48.44 | -67.80 | 0.51 |      45     |   80.00    |
|  Gen 22  | 47.11 | -69.10 | 0.49 |      49     |   78.22    |
|  Gen 23  | 46.67 | -69.53 | 0.47 |      48     |   78.67    |
|  Gen 24  | 48.00 | -67.90 | 0.50 |      45     |   80.00    |
|  Gen 25  | 47.56 | -68.30 | 0.50 |      44     |   80.44    |
|  Gen 26  | 47.11 | -68.40 | 0.49 |      45     |   80.00    |
|  Gen 27  | 48.44 | -66.90 | 0.51 |      47     |   78.67    |
|  Gen 28  | 48.00 | -67.00 | 0.47 |      50     |   77.78    |
|  Gen 29  | 49.33 | -65.63 | 0.49 |      48     |   78.67    |
|  Gen 30  | 47.11 | -67.37 | 0.48 |      45     |   80.00    |
|  Gen 31  | 46.67 | -67.60 | 0.49 |      46     |   79.56    |
|  Gen 32  | 48.44 | -65.73 | 0.48 |      48     |   78.67    |
|  Gen 33  | 47.56 | -66.30 | 0.50 |      50     |   77.78    |
|  Gen 34  | 49.33 | -64.50 | 0.47 |      54     |   76.00    |
|  Gen 35  | 46.22 | -67.40 | 0.47 |      44     |   80.44    |
|  Gen 36  | 48.44 | -65.00 | 0.50 |      48     |   78.67    |
|  Gen 37  | 48.89 | -64.43 | 0.51 |      44     |   80.44    |
|  Gen 38  | 48.00 | -65.20 | 0.49 |      53     |   76.44    |
|  Gen 39  | 48.89 | -64.10 | 0.50 |      48     |   78.67    |
|  Gen 40  | 49.33 | -63.60 | 0.52 |      43     |   80.89    |
|  Gen 41  | 49.78 | -63.10 | 0.52 |      46     |   79.56    |
|  Gen 42  | 48.89 | -63.80 | 0.52 |      52     |   76.89    |
|  Gen 43  | 48.89 | -63.70 | 0.50 |      50     |   77.78    |
|  Gen 44  | 48.44 | -64.10 | 0.51 |      47     |   79.11    |
|  Gen 45  | 48.89 | -63.50 | 0.46 |      49     |   78.22    |
|  Gen 46  | 48.00 | -64.30 | 0.50 |      48     |   78.67    |
|  Gen 47  | 49.33 | -62.90 | 0.53 |      51     |   77.33    |
|  Gen 48  | 48.89 | -63.20 | 0.53 |      45     |   80.00    |
|  Gen 49  | 48.44 | -63.67 | 0.51 |      49     |   78.22    |
|  Gen 50  | 48.44 | -63.50 | 0.51 |      49     |   78.22    |
| Best GC  | 49.78 | -63.10 | 0.52 |      46     |   79.56    |
| Best MFE | 48.00 | -77.00 | 0.48 |      46     |   79.56    |
| Best CAI | 49.78 | -68.90 | 0.54 |      47     |   79.11    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
