+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 51.30 | -164.80 | 0.54 |     110     |   73.29    |
|  Gen 2   | 50.59 | -175.27 | 0.51 |     109     |   74.23    |
|  Gen 3   | 51.54 | -172.80 | 0.51 |     104     |   75.18    |
|  Gen 4   | 49.65 | -162.30 | 0.51 |     108     |   74.00    |
|  Gen 5   | 47.52 | -163.07 | 0.51 |      98     |   76.60    |
|  Gen 6   | 50.12 | -172.93 | 0.49 |     117     |   72.10    |
|  Gen 7   | 47.28 | -168.33 | 0.49 |      85     |   79.91    |
|  Gen 8   | 51.30 | -169.10 | 0.49 |     102     |   75.89    |
|  Gen 9   | 46.57 | -155.33 | 0.51 |      89     |   78.72    |
|  Gen 10  | 47.99 | -168.53 | 0.49 |     110     |   73.76    |
|  Gen 11  | 47.28 | -170.67 | 0.48 |      90     |   78.25    |
|  Gen 12  | 50.35 | -165.60 | 0.49 |     107     |   74.23    |
|  Gen 13  | 47.75 | -161.43 | 0.49 |     106     |   74.00    |
|  Gen 14  | 48.94 | -169.80 | 0.48 |     113     |   72.58    |
|  Gen 15  | 49.88 | -170.90 | 0.47 |     104     |   75.18    |
|  Gen 16  | 48.23 | -166.47 | 0.48 |     107     |   74.70    |
|  Gen 17  | 46.10 | -150.07 | 0.50 |      95     |   77.30    |
|  Gen 18  | 49.88 | -159.10 | 0.49 |     107     |   74.47    |
|  Gen 19  | 48.23 | -170.87 | 0.47 |     100     |   76.36    |
|  Gen 20  | 48.23 | -150.40 | 0.50 |     104     |   74.94    |
|  Gen 21  | 47.52 | -163.47 | 0.48 |      88     |   78.49    |
|  Gen 22  | 47.75 | -152.03 | 0.50 |     108     |   74.47    |
|  Gen 23  | 48.46 | -150.30 | 0.50 |     103     |   75.65    |
|  Gen 24  | 48.70 | -161.27 | 0.48 |     105     |   74.47    |
|  Gen 25  | 49.41 | -152.77 | 0.49 |     104     |   75.41    |
|  Gen 26  | 47.52 | -159.23 | 0.48 |     104     |   75.18    |
|  Gen 27  | 49.65 | -162.00 | 0.48 |     109     |   74.00    |
|  Gen 28  | 50.59 | -165.73 | 0.47 |     109     |   74.23    |
|  Gen 29  | 47.28 | -168.07 | 0.46 |     104     |   74.94    |
|  Gen 30  | 47.28 | -165.93 | 0.47 |     105     |   75.18    |
|  Gen 31  | 45.39 | -159.90 | 0.48 |      97     |   76.83    |
|  Gen 32  | 48.46 | -167.87 | 0.46 |     105     |   74.94    |
|  Gen 33  | 49.17 | -156.30 | 0.48 |     106     |   74.70    |
|  Gen 34  | 49.17 | -149.43 | 0.49 |     102     |   75.89    |
|  Gen 35  | 50.12 | -162.37 | 0.47 |      99     |   76.12    |
|  Gen 36  | 47.99 | -160.30 | 0.47 |     101     |   76.12    |
|  Gen 37  | 48.94 | -153.67 | 0.48 |      92     |   78.01    |
|  Gen 38  | 47.52 | -157.43 | 0.47 |     102     |   75.89    |
|  Gen 39  | 47.99 | -158.20 | 0.47 |     101     |   75.89    |
|  Gen 40  | 50.83 | -153.77 | 0.48 |      97     |   77.07    |
|  Gen 41  | 47.28 | -166.83 | 0.46 |     112     |   73.52    |
|  Gen 42  | 47.52 | -159.80 | 0.47 |     108     |   74.23    |
|  Gen 43  | 46.81 | -157.00 | 0.47 |     113     |   73.05    |
|  Gen 44  | 46.34 | -155.20 | 0.47 |     102     |   75.89    |
|  Gen 45  | 47.52 | -153.60 | 0.47 |      97     |   77.07    |
|  Gen 46  | 48.23 | -164.33 | 0.46 |     109     |   74.00    |
|  Gen 47  | 47.75 | -154.00 | 0.47 |     103     |   75.65    |
|  Gen 48  | 45.86 | -150.70 | 0.47 |      94     |   77.07    |
|  Gen 49  | 48.70 | -169.27 | 0.44 |     104     |   75.41    |
|  Gen 50  | 49.88 | -153.70 | 0.47 |     101     |   75.65    |
| Best GC  | 51.54 | -172.80 | 0.51 |     104     |   75.18    |
| Best MFE | 50.59 | -175.27 | 0.51 |     109     |   74.23    |
| Best CAI | 51.30 | -164.80 | 0.54 |     110     |   73.29    |
| Natural  | 44.68 | -152.30 | 0.47 |      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
