+----------+-------+---------+------+-------------+------------+
|   Seq    |  GC % |   MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+---------+------+-------------+------------+
|  Gen 1   | 50.35 | -170.00 | 0.53 |     114     |   73.05    |
|  Gen 2   | 51.77 | -167.33 | 0.51 |     107     |   74.70    |
|  Gen 3   | 49.41 | -164.60 | 0.51 |     109     |   74.23    |
|  Gen 4   | 49.65 | -165.60 | 0.51 |      98     |   76.83    |
|  Gen 5   | 50.35 | -165.77 | 0.51 |     107     |   74.70    |
|  Gen 6   | 48.23 | -160.80 | 0.52 |      94     |   77.54    |
|  Gen 7   | 47.99 | -163.13 | 0.50 |     103     |   74.94    |
|  Gen 8   | 50.35 | -157.10 | 0.50 |     105     |   75.18    |
|  Gen 9   | 48.70 | -161.73 | 0.49 |     104     |   74.94    |
|  Gen 10  | 46.34 | -162.03 | 0.49 |      99     |   76.60    |
|  Gen 11  | 51.54 | -164.17 | 0.49 |     101     |   76.12    |
|  Gen 12  | 49.65 | -161.70 | 0.49 |     120     |   71.16    |
|  Gen 13  | 49.41 | -163.50 | 0.49 |     102     |   75.41    |
|  Gen 14  | 47.99 | -157.63 | 0.49 |     113     |   73.29    |
|  Gen 15  | 48.23 | -156.67 | 0.49 |      92     |   78.25    |
|  Gen 16  | 47.28 | -157.13 | 0.49 |      94     |   77.78    |
|  Gen 17  | 47.28 | -158.83 | 0.49 |      83     |   80.38    |
|  Gen 18  | 49.41 | -161.07 | 0.49 |     102     |   75.89    |
|  Gen 19  | 48.94 | -166.33 | 0.47 |     105     |   75.18    |
|  Gen 20  | 48.23 | -157.33 | 0.49 |     106     |   74.94    |
|  Gen 21  | 48.94 | -160.53 | 0.48 |     104     |   74.94    |
|  Gen 22  | 48.23 | -159.97 | 0.48 |     103     |   75.65    |
|  Gen 23  | 49.41 | -167.77 | 0.47 |     100     |   76.36    |
|  Gen 24  | 47.04 | -152.87 | 0.49 |     114     |   73.05    |
|  Gen 25  | 47.52 | -155.40 | 0.49 |     103     |   75.65    |
|  Gen 26  | 46.34 | -155.10 | 0.49 |     106     |   74.94    |
|  Gen 27  | 48.70 | -162.10 | 0.48 |     106     |   74.94    |
|  Gen 28  | 50.59 | -161.67 | 0.48 |     104     |   75.18    |
|  Gen 29  | 47.28 | -161.70 | 0.48 |      92     |   78.01    |
|  Gen 30  | 50.12 | -168.87 | 0.46 |      98     |   76.83    |
|  Gen 31  | 48.46 | -162.80 | 0.47 |     112     |   73.05    |
|  Gen 32  | 48.23 | -167.20 | 0.46 |      90     |   78.72    |
|  Gen 33  | 48.23 | -167.27 | 0.46 |     103     |   74.94    |
|  Gen 34  | 48.94 | -152.00 | 0.48 |     117     |   72.34    |
|  Gen 35  | 50.12 | -156.53 | 0.47 |     111     |   73.76    |
|  Gen 36  | 48.94 | -151.80 | 0.47 |     100     |   76.12    |
|  Gen 37  | 47.52 | -147.93 | 0.48 |     103     |   75.18    |
|  Gen 38  | 47.75 | -152.10 | 0.47 |     100     |   76.12    |
|  Gen 39  | 48.70 | -159.20 | 0.46 |     111     |   73.52    |
|  Gen 40  | 48.94 | -156.63 | 0.46 |     107     |   74.70    |
|  Gen 41  | 47.99 | -145.20 | 0.48 |     104     |   75.41    |
|  Gen 42  | 47.04 | -159.20 | 0.46 |     104     |   75.41    |
|  Gen 43  | 47.52 | -167.53 | 0.45 |     104     |   75.18    |
|  Gen 44  | 46.81 | -158.13 | 0.46 |     100     |   76.36    |
|  Gen 45  | 46.10 | -157.83 | 0.46 |     115     |   72.34    |
|  Gen 46  | 48.23 | -155.60 | 0.46 |      96     |   76.83    |
|  Gen 47  | 47.28 | -146.90 | 0.48 |     113     |   73.05    |
|  Gen 48  | 48.70 | -156.97 | 0.46 |     103     |   75.65    |
|  Gen 49  | 47.99 | -158.83 | 0.45 |      94     |   77.78    |
|  Gen 50  | 47.99 | -146.30 | 0.47 |      94     |   77.30    |
| Best GC  | 51.77 | -167.33 | 0.51 |     107     |   74.70    |
| Best MFE | 50.35 | -170.00 | 0.53 |     114     |   73.05    |
| Best CAI | 50.35 | -170.00 | 0.53 |     114     |   73.05    |
| Natural  | 44.68 | -152.30 | 0.47 |      0      |   100.00   |
+----------+-------+---------+------+-------------+------------+
