+----------+-------+--------+------+-------------+------------+
|   Seq    |  GC % |  MFE   | CAI  | Levenshtein | Identity % |
+----------+-------+--------+------+-------------+------------+
|  Gen 1   | 51.11 | -79.60 | 0.62 |      47     |   79.11    |
|  Gen 2   | 52.44 | -85.57 | 0.60 |      55     |   75.11    |
|  Gen 3   | 49.78 | -75.30 | 0.61 |      57     |   74.67    |
|  Gen 4   | 51.56 | -84.80 | 0.58 |      52     |   76.44    |
|  Gen 5   | 50.22 | -79.90 | 0.58 |      55     |   75.56    |
|  Gen 6   | 49.78 | -77.17 | 0.57 |      55     |   75.56    |
|  Gen 7   | 50.22 | -76.83 | 0.57 |      51     |   77.33    |
|  Gen 8   | 49.78 | -70.70 | 0.58 |      58     |   74.22    |
|  Gen 9   | 50.67 | -77.73 | 0.57 |      50     |   77.33    |
|  Gen 10  | 49.78 | -81.33 | 0.56 |      45     |   80.00    |
|  Gen 11  | 51.56 | -64.90 | 0.59 |      50     |   77.78    |
|  Gen 12  | 50.67 | -86.33 | 0.55 |      54     |   76.00    |
|  Gen 13  | 50.67 | -79.83 | 0.56 |      53     |   76.44    |
|  Gen 14  | 49.78 | -73.10 | 0.57 |      52     |   76.00    |
|  Gen 15  | 48.89 | -77.53 | 0.56 |      55     |   75.56    |
|  Gen 16  | 50.67 | -66.97 | 0.58 |      47     |   79.11    |
|  Gen 17  | 49.78 | -74.13 | 0.56 |      47     |   78.67    |
|  Gen 18  | 48.44 | -64.60 | 0.58 |      48     |   78.67    |
|  Gen 19  | 49.78 | -81.23 | 0.55 |      53     |   76.44    |
|  Gen 20  | 48.44 | -66.30 | 0.57 |      40     |   81.78    |
|  Gen 21  | 50.67 | -75.63 | 0.55 |      50     |   77.78    |
|  Gen 22  | 48.44 | -79.30 | 0.54 |      50     |   77.33    |
|  Gen 23  | 50.22 | -75.43 | 0.55 |      51     |   77.33    |
|  Gen 24  | 48.89 | -71.20 | 0.56 |      54     |   76.00    |
|  Gen 25  | 50.22 | -71.50 | 0.56 |      45     |   80.00    |
|  Gen 26  | 48.89 | -76.70 | 0.54 |      50     |   77.33    |
|  Gen 27  | 48.00 | -68.77 | 0.56 |      51     |   77.33    |
|  Gen 28  | 48.89 | -69.70 | 0.55 |      52     |   76.89    |
|  Gen 29  | 49.78 | -73.07 | 0.55 |      51     |   77.33    |
|  Gen 30  | 48.89 | -74.90 | 0.54 |      51     |   76.89    |
|  Gen 31  | 50.67 | -72.60 | 0.55 |      46     |   79.11    |
|  Gen 32  | 50.22 | -73.40 | 0.54 |      52     |   76.44    |
|  Gen 33  | 52.44 | -79.90 | 0.53 |      55     |   75.11    |
|  Gen 34  | 47.11 | -74.70 | 0.54 |      45     |   80.00    |
|  Gen 35  | 47.56 | -70.60 | 0.54 |      41     |   81.78    |
|  Gen 36  | 48.89 | -74.70 | 0.54 |      54     |   76.00    |
|  Gen 37  | 49.33 | -71.57 | 0.54 |      55     |   75.11    |
|  Gen 38  | 49.78 | -80.10 | 0.53 |      66     |   70.67    |
|  Gen 39  | 48.44 | -69.40 | 0.54 |      54     |   75.56    |
|  Gen 40  | 49.33 | -72.77 | 0.54 |      49     |   78.22    |
|  Gen 41  | 48.00 | -79.10 | 0.52 |      48     |   78.67    |
|  Gen 42  | 48.44 | -69.10 | 0.54 |      53     |   76.44    |
|  Gen 43  | 50.67 | -78.80 | 0.52 |      49     |   78.22    |
|  Gen 44  | 47.56 | -75.20 | 0.52 |      58     |   73.78    |
|  Gen 45  | 48.00 | -73.20 | 0.53 |      48     |   78.67    |
|  Gen 46  | 49.78 | -73.40 | 0.52 |      52     |   76.44    |
|  Gen 47  | 47.56 | -67.77 | 0.53 |      48     |   78.22    |
|  Gen 48  | 49.33 | -75.30 | 0.52 |      49     |   78.22    |
|  Gen 49  | 48.89 | -75.50 | 0.52 |      53     |   76.44    |
|  Gen 50  | 46.22 | -69.10 | 0.53 |      55     |   75.11    |
| Best GC  | 52.44 | -79.90 | 0.53 |      55     |   75.11    |
| Best MFE | 50.67 | -86.33 | 0.55 |      54     |   76.00    |
| Best CAI | 51.11 | -79.60 | 0.62 |      47     |   79.11    |
| Natural  | 45.33 | -68.20 | 0.54 |      0      |   100.00   |
+----------+-------+--------+------+-------------+------------+
