Comprehensive Sequence Comparison Table
==================================================

+---------+-------+---------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % |   MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+---------+------+--------+-------------+------------+-------------+
|  Gen 1  | 50.58 | -298.67 | 0.55 |  0.77  |     169     |   75.15    |      0      |
|  Gen 2  | 51.61 | -288.53 | 0.53 |  0.76  |     164     |   75.58    |      0      |
|  Gen 3  | 50.73 | -290.77 | 0.53 |  0.75  |     158     |   76.90    |      0      |
|  Gen 4  | 51.17 | -279.27 | 0.55 |  0.75  |     173     |   74.56    |      0      |
|  Gen 5  | 51.02 | -290.93 | 0.50 |  0.74  |     164     |   75.73    |      0      |
|  Gen 6  | 52.49 | -274.90 | 0.51 |  0.74  |     163     |   75.88    |      0      |
|  Gen 7  | 50.58 | -278.80 | 0.54 |  0.74  |     143     |   79.09    |      0      |
|  Gen 8  | 51.02 | -278.67 | 0.52 |  0.74  |     159     |   76.61    |      0      |
|  Gen 9  | 50.15 | -277.37 | 0.55 |  0.74  |     159     |   76.46    |      0      |
|  Gen 10 | 50.15 | -284.13 | 0.52 |  0.73  |     159     |   76.61    |      0      |
|  Gen 11 | 50.58 | -286.77 | 0.50 |  0.73  |     163     |   76.02    |      0      |
|  Gen 12 | 50.44 | -280.00 | 0.52 |  0.73  |     162     |   76.17    |      0      |
|  Gen 13 | 50.15 | -280.83 | 0.52 |  0.73  |     168     |   75.44    |      0      |
|  Gen 14 | 50.29 | -276.70 | 0.53 |  0.73  |     169     |   75.29    |      0      |
|  Gen 15 | 50.58 | -283.27 | 0.50 |  0.73  |     173     |   74.71    |      0      |
|  Gen 16 | 50.44 | -273.23 | 0.54 |  0.73  |     174     |   74.12    |      0      |
|  Gen 17 | 51.61 | -284.07 | 0.47 |  0.73  |     179     |   73.39    |      0      |
|  Gen 18 | 50.73 | -282.17 | 0.49 |  0.73  |     175     |   74.27    |      0      |
|  Gen 19 | 49.85 | -283.47 | 0.51 |  0.72  |     169     |   75.29    |      0      |
|  Gen 20 | 50.73 | -279.87 | 0.50 |  0.72  |     184     |   72.95    |      0      |
|  Gen 21 | 50.58 | -274.33 | 0.52 |  0.72  |     171     |   75.00    |      0      |
|  Gen 22 | 49.71 | -273.83 | 0.54 |  0.72  |     156     |   77.19    |      0      |
|  Gen 23 | 50.29 | -270.03 | 0.54 |  0.72  |     169     |   75.00    |      0      |
|  Gen 24 | 50.29 | -270.23 | 0.54 |  0.72  |     167     |   75.44    |      0      |
|  Gen 25 | 51.46 | -274.63 | 0.49 |  0.72  |     172     |   74.71    |      0      |
|  Gen 26 | 50.29 | -275.60 | 0.52 |  0.72  |     166     |   75.00    |      0      |
|  Gen 27 | 49.27 | -282.87 | 0.52 |  0.72  |     168     |   75.29    |      0      |
|  Gen 28 | 50.15 | -271.40 | 0.53 |  0.72  |     174     |   74.56    |      0      |
|  Gen 29 | 50.44 | -281.23 | 0.49 |  0.72  |     158     |   76.90    |      0      |
|  Gen 30 | 48.68 | -277.27 | 0.55 |  0.72  |     158     |   76.90    |      0      |
|  Gen 31 | 50.00 | -276.80 | 0.52 |  0.72  |     176     |   74.12    |      0      |
|  Gen 32 | 50.29 | -279.77 | 0.50 |  0.72  |     151     |   77.78    |      0      |
|  Gen 33 | 50.58 | -265.63 | 0.54 |  0.72  |     170     |   75.00    |      0      |
|  Gen 34 | 50.29 | -271.37 | 0.52 |  0.72  |     163     |   76.02    |      0      |
|  Gen 35 | 50.44 | -272.80 | 0.52 |  0.72  |     166     |   75.44    |      0      |
|  Gen 36 | 50.15 | -280.43 | 0.50 |  0.72  |     182     |   72.66    |      0      |
|  Gen 37 | 50.00 | -277.07 | 0.50 |  0.72  |     164     |   75.58    |      0      |
|  Gen 38 | 50.00 | -279.87 | 0.49 |  0.72  |     170     |   74.85    |      0      |
|  Gen 39 | 49.56 | -267.57 | 0.54 |  0.72  |     172     |   74.56    |      0      |
|  Gen 40 | 49.27 | -270.60 | 0.54 |  0.71  |     163     |   76.02    |      0      |
|  Gen 41 | 50.00 | -271.73 | 0.51 |  0.71  |     170     |   74.56    |      0      |
|  Gen 42 | 49.27 | -275.17 | 0.52 |  0.71  |     168     |   75.15    |      0      |
|  Gen 43 | 49.42 | -271.50 | 0.53 |  0.71  |     181     |   73.54    |      0      |
|  Gen 44 | 49.42 | -271.07 | 0.53 |  0.71  |     168     |   75.29    |      0      |
|  Gen 45 | 49.42 | -280.33 | 0.50 |  0.71  |     146     |   78.36    |      0      |
|  Gen 46 | 49.85 | -270.00 | 0.52 |  0.71  |     166     |   75.44    |      0      |
|  Gen 47 | 50.15 | -270.83 | 0.51 |  0.71  |     160     |   76.17    |      0      |
|  Gen 48 | 49.12 | -287.00 | 0.48 |  0.71  |     172     |   74.71    |      0      |
|  Gen 49 | 49.42 | -267.90 | 0.54 |  0.71  |     157     |   76.61    |      0      |
|  Gen 50 | 50.73 | -262.90 | 0.52 |  0.71  |     169     |   75.15    |      0      |
| Natural | 51.17 | -279.80 | 0.59 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+---------+------+--------+-------------+------------+-------------+
