Comprehensive Sequence Comparison Table
==================================================

+---------+-------+---------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % |   MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+---------+------+--------+-------------+------------+-------------+
|  Gen 1  | 53.89 | -150.93 | 0.58 |  0.80  |      93     |   74.17    |      0      |
|  Gen 2  | 53.61 | -149.17 | 0.58 |  0.79  |      98     |   72.78    |      0      |
|  Gen 3  | 54.17 | -146.87 | 0.58 |  0.79  |      89     |   75.28    |      0      |
|  Gen 4  | 55.56 | -138.10 | 0.58 |  0.78  |     101     |   71.94    |      0      |
|  Gen 5  | 53.61 | -150.70 | 0.54 |  0.78  |     101     |   71.94    |      0      |
|  Gen 6  | 53.61 | -153.63 | 0.51 |  0.77  |     100     |   71.94    |      0      |
|  Gen 7  | 54.72 | -146.00 | 0.52 |  0.77  |     114     |   68.33    |      0      |
|  Gen 8  | 55.00 | -141.20 | 0.54 |  0.77  |     103     |   70.83    |      0      |
|  Gen 9  | 53.33 | -140.47 | 0.59 |  0.77  |     100     |   72.22    |      0      |
|  Gen 10 | 52.78 | -145.43 | 0.56 |  0.77  |      95     |   73.61    |      0      |
|  Gen 11 | 53.06 | -148.73 | 0.53 |  0.76  |      96     |   73.33    |      0      |
|  Gen 12 | 52.78 | -143.70 | 0.56 |  0.76  |      95     |   73.33    |      0      |
|  Gen 13 | 53.06 | -149.57 | 0.52 |  0.76  |      98     |   72.78    |      0      |
|  Gen 14 | 52.78 | -148.40 | 0.53 |  0.76  |      82     |   76.94    |      0      |
|  Gen 15 | 53.33 | -141.43 | 0.55 |  0.76  |      91     |   73.89    |      0      |
|  Gen 16 | 52.22 | -149.17 | 0.53 |  0.76  |      89     |   75.28    |      0      |
|  Gen 17 | 52.78 | -145.17 | 0.54 |  0.76  |     116     |   67.22    |      0      |
|  Gen 18 | 54.17 | -134.37 | 0.57 |  0.76  |      91     |   74.72    |      0      |
|  Gen 19 | 53.06 | -150.03 | 0.50 |  0.76  |      97     |   72.78    |      0      |
|  Gen 20 | 53.33 | -142.60 | 0.53 |  0.75  |      96     |   72.22    |      0      |
|  Gen 21 | 53.89 | -138.37 | 0.54 |  0.75  |      94     |   73.33    |      0      |
|  Gen 22 | 54.44 | -136.60 | 0.54 |  0.75  |     104     |   70.83    |      0      |
|  Gen 23 | 51.94 | -145.00 | 0.55 |  0.75  |      93     |   74.17    |      0      |
|  Gen 24 | 53.61 | -136.27 | 0.55 |  0.75  |      89     |   75.28    |      0      |
|  Gen 25 | 53.06 | -137.80 | 0.55 |  0.75  |      97     |   72.78    |      0      |
|  Gen 26 | 53.06 | -136.10 | 0.56 |  0.75  |     103     |   71.11    |      0      |
|  Gen 27 | 53.33 | -143.10 | 0.51 |  0.75  |     106     |   70.00    |      0      |
|  Gen 28 | 52.50 | -139.80 | 0.55 |  0.74  |      88     |   75.28    |      0      |
|  Gen 29 | 53.89 | -139.70 | 0.52 |  0.74  |      90     |   74.72    |      0      |
|  Gen 30 | 52.50 | -141.40 | 0.54 |  0.74  |      94     |   73.61    |      0      |
|  Gen 31 | 52.78 | -143.10 | 0.52 |  0.74  |      88     |   75.56    |      0      |
|  Gen 32 | 51.11 | -144.57 | 0.55 |  0.74  |      92     |   74.17    |      0      |
|  Gen 33 | 51.67 | -142.60 | 0.54 |  0.74  |      93     |   73.61    |      0      |
|  Gen 34 | 52.22 | -139.17 | 0.55 |  0.74  |      92     |   73.89    |      0      |
|  Gen 35 | 53.06 | -137.17 | 0.54 |  0.74  |      95     |   73.61    |      0      |
|  Gen 36 | 53.06 | -136.23 | 0.54 |  0.74  |      89     |   75.00    |      0      |
|  Gen 37 | 53.61 | -134.60 | 0.54 |  0.74  |     100     |   71.94    |      0      |
|  Gen 38 | 52.22 | -135.00 | 0.56 |  0.74  |      99     |   72.50    |      0      |
|  Gen 39 | 51.39 | -142.87 | 0.53 |  0.74  |      97     |   73.06    |      0      |
|  Gen 40 | 51.39 | -147.47 | 0.51 |  0.73  |      91     |   74.44    |      0      |
|  Gen 41 | 51.11 | -145.10 | 0.52 |  0.73  |      93     |   74.17    |      0      |
|  Gen 42 | 53.06 | -137.87 | 0.52 |  0.73  |      93     |   73.61    |      0      |
|  Gen 43 | 52.50 | -143.20 | 0.50 |  0.73  |      88     |   75.56    |      0      |
|  Gen 44 | 52.50 | -143.27 | 0.50 |  0.73  |      91     |   74.44    |      0      |
|  Gen 45 | 51.94 | -145.10 | 0.50 |  0.73  |     103     |   71.11    |      0      |
|  Gen 46 | 51.39 | -145.87 | 0.51 |  0.73  |      97     |   73.06    |      0      |
|  Gen 47 | 52.78 | -142.33 | 0.49 |  0.73  |      93     |   74.17    |      0      |
|  Gen 48 | 51.94 | -143.30 | 0.50 |  0.73  |      95     |   73.33    |      0      |
|  Gen 49 | 52.78 | -136.47 | 0.52 |  0.73  |     100     |   72.22    |      0      |
|  Gen 50 | 52.22 | -136.33 | 0.54 |  0.73  |      96     |   73.33    |      0      |
| Natural | 43.89 | -114.33 | 0.50 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+---------+------+--------+-------------+------------+-------------+
