Comprehensive Sequence Comparison Table
==================================================

+---------+-------+--------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % |  MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+--------+------+--------+-------------+------------+-------------+
|  Gen 1  | 48.44 | -60.40 | 0.50 |  1.66  |      51     |   77.33    |      0      |
|  Gen 2  | 48.89 | -63.57 | 0.52 |  1.65  |      54     |   76.00    |      0      |
|  Gen 3  | 47.56 | -72.10 | 0.58 |  1.65  |      46     |   79.11    |      0      |
|  Gen 4  | 47.11 | -63.60 | 0.52 |  1.64  |      47     |   79.11    |      0      |
|  Gen 5  | 51.11 | -70.80 | 0.57 |  1.63  |      47     |   79.11    |      0      |
|  Gen 6  | 44.89 | -59.87 | 0.48 |  1.63  |      52     |   76.89    |      0      |
|  Gen 7  | 47.56 | -63.10 | 0.50 |  1.62  |      57     |   74.67    |      0      |
|  Gen 8  | 50.22 | -73.73 | 0.57 |  1.60  |      54     |   76.00    |      0      |
|  Gen 9  | 47.56 | -69.33 | 0.54 |  1.59  |      48     |   78.67    |      0      |
|  Gen 10 | 48.89 | -66.40 | 0.51 |  1.58  |      54     |   76.00    |      0      |
|  Gen 11 | 51.56 | -75.10 | 0.58 |  1.58  |      58     |   74.22    |      0      |
|  Gen 12 | 48.89 | -71.70 | 0.55 |  1.58  |      57     |   73.78    |      0      |
|  Gen 13 | 47.56 | -71.17 | 0.54 |  1.58  |      53     |   76.44    |      0      |
|  Gen 14 | 49.78 | -62.70 | 0.48 |  1.58  |      53     |   76.44    |      0      |
|  Gen 15 | 51.11 | -70.37 | 0.53 |  1.57  |      45     |   79.56    |      0      |
|  Gen 16 | 52.89 | -75.80 | 0.57 |  1.56  |      57     |   74.22    |      0      |
|  Gen 17 | 48.00 | -69.60 | 0.52 |  1.56  |      52     |   76.44    |      0      |
|  Gen 18 | 50.22 | -80.90 | 0.61 |  1.56  |      44     |   80.00    |      0      |
|  Gen 19 | 50.67 | -71.20 | 0.54 |  1.56  |      54     |   76.00    |      0      |
|  Gen 20 | 49.78 | -68.20 | 0.51 |  1.55  |      54     |   75.56    |      0      |
|  Gen 21 | 51.56 | -75.40 | 0.56 |  1.55  |      51     |   76.89    |      0      |
|  Gen 22 | 51.11 | -73.80 | 0.55 |  1.55  |      48     |   78.67    |      0      |
|  Gen 23 | 48.44 | -67.17 | 0.50 |  1.55  |      49     |   78.22    |      0      |
|  Gen 24 | 50.22 | -70.10 | 0.52 |  1.55  |      58     |   73.78    |      0      |
|  Gen 25 | 48.00 | -64.60 | 0.48 |  1.55  |      54     |   76.00    |      0      |
|  Gen 26 | 47.11 | -68.03 | 0.50 |  1.55  |      44     |   80.44    |      0      |
|  Gen 27 | 51.11 | -73.30 | 0.54 |  1.54  |      45     |   79.56    |      0      |
|  Gen 28 | 47.56 | -62.97 | 0.46 |  1.54  |      53     |   76.44    |      0      |
|  Gen 29 | 50.67 | -70.97 | 0.52 |  1.54  |      59     |   73.33    |      0      |
|  Gen 30 | 47.11 | -75.00 | 0.55 |  1.54  |      46     |   79.56    |      0      |
|  Gen 31 | 48.00 | -60.00 | 0.44 |  1.54  |      49     |   77.78    |      0      |
|  Gen 32 | 46.67 | -67.47 | 0.50 |  1.54  |      56     |   75.11    |      0      |
|  Gen 33 | 48.44 | -69.00 | 0.51 |  1.54  |      53     |   76.44    |      0      |
|  Gen 34 | 51.11 | -74.90 | 0.55 |  1.54  |      52     |   76.89    |      0      |
|  Gen 35 | 51.11 | -76.20 | 0.56 |  1.53  |      51     |   77.33    |      0      |
|  Gen 36 | 46.22 | -67.80 | 0.50 |  1.53  |      43     |   80.89    |      0      |
|  Gen 37 | 49.78 | -71.80 | 0.52 |  1.52  |      51     |   77.33    |      0      |
|  Gen 38 | 49.78 | -74.10 | 0.54 |  1.52  |      46     |   79.56    |      0      |
|  Gen 39 | 49.33 | -73.93 | 0.54 |  1.52  |      50     |   77.33    |      0      |
|  Gen 40 | 48.89 | -72.20 | 0.52 |  1.51  |      47     |   78.67    |      0      |
|  Gen 41 | 52.00 | -75.93 | 0.55 |  1.51  |      56     |   74.67    |      0      |
|  Gen 42 | 44.00 | -60.70 | 0.43 |  1.51  |      56     |   74.67    |      0      |
|  Gen 43 | 49.78 | -72.43 | 0.52 |  1.50  |      57     |   74.22    |      0      |
|  Gen 44 | 48.00 | -71.40 | 0.51 |  1.50  |      45     |   79.56    |      0      |
|  Gen 45 | 49.33 | -69.73 | 0.50 |  1.50  |      63     |   71.56    |      0      |
|  Gen 46 | 49.33 | -71.87 | 0.51 |  1.50  |      47     |   79.11    |      0      |
|  Gen 47 | 47.11 | -68.73 | 0.49 |  1.50  |      51     |   77.33    |      0      |
|  Gen 48 | 48.00 | -73.00 | 0.52 |  1.50  |      53     |   76.44    |      0      |
|  Gen 49 | 49.33 | -74.17 | 0.53 |  1.50  |      57     |   74.67    |      0      |
|  Gen 50 | 46.22 | -70.10 | 0.50 |  1.49  |      46     |   79.56    |      0      |
| Best GC | 53.78 | -83.37 | 0.55 |  1.40  |      52     |   76.89    |      0      |
| Natural | 45.33 | -68.20 | 0.54 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+--------+------+--------+-------------+------------+-------------+
