Comprehensive Sequence Comparison Table
==================================================

+---------+-------+---------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % |   MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+---------+------+--------+-------------+------------+-------------+
|  Gen 1  | 54.72 | -161.10 | 0.56 |  0.82  |     107     |   70.28    |      0      |
|  Gen 2  | 53.89 | -152.47 | 0.59 |  0.81  |      93     |   73.61    |      0      |
|  Gen 3  | 53.06 | -155.07 | 0.55 |  0.79  |     110     |   68.89    |      0      |
|  Gen 4  | 54.44 | -151.77 | 0.53 |  0.79  |      95     |   73.61    |      0      |
|  Gen 5  | 56.39 | -143.23 | 0.53 |  0.79  |     104     |   71.11    |      0      |
|  Gen 6  | 53.89 | -149.60 | 0.54 |  0.78  |      99     |   72.22    |      0      |
|  Gen 7  | 54.17 | -146.30 | 0.55 |  0.78  |      95     |   72.78    |      0      |
|  Gen 8  | 54.17 | -146.03 | 0.55 |  0.78  |      97     |   72.78    |      0      |
|  Gen 9  | 54.44 | -140.63 | 0.58 |  0.78  |      96     |   73.33    |      0      |
|  Gen 10 | 52.50 | -147.93 | 0.56 |  0.77  |      94     |   73.89    |      0      |
|  Gen 11 | 53.06 | -150.07 | 0.53 |  0.77  |      93     |   74.17    |      0      |
|  Gen 12 | 53.61 | -144.00 | 0.55 |  0.77  |     100     |   72.22    |      0      |
|  Gen 13 | 52.50 | -153.17 | 0.51 |  0.76  |      97     |   73.06    |      0      |
|  Gen 14 | 53.33 | -141.27 | 0.56 |  0.76  |     103     |   71.39    |      0      |
|  Gen 15 | 55.56 | -136.17 | 0.54 |  0.76  |     100     |   71.67    |      0      |
|  Gen 16 | 55.00 | -142.07 | 0.51 |  0.76  |     105     |   70.83    |      0      |
|  Gen 17 | 53.89 | -150.47 | 0.49 |  0.76  |     110     |   69.17    |      0      |
|  Gen 18 | 52.78 | -148.80 | 0.52 |  0.76  |     102     |   71.67    |      0      |
|  Gen 19 | 54.44 | -144.40 | 0.50 |  0.76  |     110     |   69.44    |      0      |
|  Gen 20 | 53.33 | -144.20 | 0.52 |  0.75  |      92     |   74.44    |      0      |
|  Gen 21 | 53.33 | -141.03 | 0.54 |  0.75  |     101     |   71.67    |      0      |
|  Gen 22 | 52.78 | -140.33 | 0.55 |  0.75  |     102     |   71.67    |      0      |
|  Gen 23 | 53.33 | -139.83 | 0.53 |  0.75  |     100     |   71.94    |      0      |
|  Gen 24 | 52.22 | -139.33 | 0.56 |  0.74  |      92     |   74.44    |      0      |
|  Gen 25 | 53.33 | -137.97 | 0.54 |  0.74  |     106     |   70.56    |      0      |
|  Gen 26 | 52.50 | -144.63 | 0.52 |  0.74  |     104     |   71.11    |      0      |
|  Gen 27 | 52.78 | -137.70 | 0.56 |  0.74  |     101     |   71.39    |      0      |
|  Gen 28 | 51.39 | -140.83 | 0.57 |  0.74  |      93     |   73.89    |      0      |
|  Gen 29 | 53.61 | -140.43 | 0.52 |  0.74  |      91     |   74.44    |      0      |
|  Gen 30 | 53.33 | -138.17 | 0.53 |  0.74  |     104     |   70.28    |      0      |
|  Gen 31 | 52.78 | -148.57 | 0.48 |  0.74  |      93     |   73.89    |      0      |
|  Gen 32 | 52.50 | -140.03 | 0.54 |  0.74  |      97     |   72.50    |      0      |
|  Gen 33 | 51.67 | -139.73 | 0.55 |  0.74  |      90     |   74.72    |      0      |
|  Gen 34 | 51.67 | -142.40 | 0.53 |  0.74  |      91     |   74.72    |      0      |
|  Gen 35 | 52.50 | -141.10 | 0.52 |  0.74  |      87     |   75.28    |      0      |
|  Gen 36 | 52.50 | -142.60 | 0.51 |  0.73  |      97     |   73.06    |      0      |
|  Gen 37 | 51.67 | -139.50 | 0.55 |  0.73  |      87     |   75.83    |      0      |
|  Gen 38 | 53.89 | -125.00 | 0.58 |  0.73  |      86     |   75.83    |      0      |
|  Gen 39 | 53.06 | -138.50 | 0.51 |  0.73  |     102     |   71.67    |      0      |
|  Gen 40 | 52.78 | -140.20 | 0.51 |  0.73  |     103     |   71.11    |      0      |
|  Gen 41 | 52.78 | -139.70 | 0.51 |  0.73  |     101     |   71.94    |      0      |
|  Gen 42 | 51.94 | -135.90 | 0.55 |  0.73  |      88     |   75.28    |      0      |
|  Gen 43 | 53.61 | -136.43 | 0.51 |  0.73  |      98     |   72.78    |      0      |
|  Gen 44 | 51.94 | -138.77 | 0.54 |  0.73  |      98     |   72.50    |      0      |
|  Gen 45 | 52.50 | -137.37 | 0.53 |  0.73  |      93     |   73.89    |      0      |
|  Gen 46 | 52.50 | -146.23 | 0.47 |  0.73  |     100     |   72.22    |      0      |
|  Gen 47 | 54.72 | -129.60 | 0.52 |  0.73  |      94     |   73.61    |      0      |
|  Gen 48 | 51.11 | -141.90 | 0.53 |  0.73  |      98     |   72.50    |      0      |
|  Gen 49 | 51.11 | -143.70 | 0.52 |  0.73  |      88     |   75.00    |      0      |
|  Gen 50 | 53.61 | -135.40 | 0.51 |  0.73  |     104     |   71.11    |      0      |
| Natural | 43.89 | -114.33 | 0.50 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+---------+------+--------+-------------+------------+-------------+
