Comprehensive Sequence Comparison Table
==================================================

+---------+-------+---------+------+--------+-------------+------------+-------------+
|   Seq   |  GC % |   MFE   | CAI  | Reward | Levenshtein | Identity % | Length Diff |
+---------+-------+---------+------+--------+-------------+------------+-------------+
|  Gen 1  | 52.05 | -291.80 | 0.51 |  0.76  |     176     |   73.68    |      0      |
|  Gen 2  | 51.17 | -284.83 | 0.53 |  0.75  |     172     |   74.56    |      0      |
|  Gen 3  | 51.61 | -286.30 | 0.50 |  0.74  |     170     |   75.15    |      0      |
|  Gen 4  | 51.90 | -276.63 | 0.51 |  0.74  |     168     |   75.00    |      0      |
|  Gen 5  | 50.88 | -281.07 | 0.52 |  0.74  |     166     |   75.44    |      0      |
|  Gen 6  | 50.00 | -286.17 | 0.52 |  0.74  |     163     |   75.88    |      0      |
|  Gen 7  | 51.17 | -278.33 | 0.52 |  0.73  |     160     |   76.46    |      0      |
|  Gen 8  | 50.44 | -279.73 | 0.53 |  0.73  |     167     |   75.15    |      0      |
|  Gen 9  | 50.58 | -278.07 | 0.52 |  0.73  |     165     |   75.88    |      0      |
|  Gen 10 | 50.73 | -283.07 | 0.50 |  0.73  |     170     |   74.85    |      0      |
|  Gen 11 | 50.88 | -275.10 | 0.51 |  0.73  |     151     |   77.78    |      0      |
|  Gen 12 | 50.58 | -272.87 | 0.53 |  0.73  |     174     |   74.56    |      0      |
|  Gen 13 | 50.15 | -269.67 | 0.55 |  0.73  |     159     |   75.88    |      0      |
|  Gen 14 | 49.71 | -284.77 | 0.51 |  0.73  |     174     |   74.56    |      0      |
|  Gen 15 | 50.29 | -280.47 | 0.51 |  0.72  |     161     |   76.32    |      0      |
|  Gen 16 | 50.15 | -274.97 | 0.53 |  0.72  |     166     |   75.29    |      0      |
|  Gen 17 | 49.27 | -279.47 | 0.53 |  0.72  |     160     |   76.17    |      0      |
|  Gen 18 | 49.85 | -285.83 | 0.49 |  0.72  |     172     |   73.98    |      0      |
|  Gen 19 | 50.44 | -278.17 | 0.50 |  0.72  |     168     |   75.29    |      0      |
|  Gen 20 | 51.02 | -267.80 | 0.52 |  0.72  |     148     |   78.07    |      0      |
|  Gen 21 | 50.15 | -277.63 | 0.51 |  0.72  |     173     |   74.42    |      0      |
|  Gen 22 | 50.15 | -276.03 | 0.51 |  0.72  |     162     |   76.02    |      0      |
|  Gen 23 | 48.25 | -290.00 | 0.51 |  0.72  |     163     |   75.73    |      0      |
|  Gen 24 | 50.44 | -278.53 | 0.49 |  0.72  |     165     |   75.73    |      0      |
|  Gen 25 | 50.00 | -279.70 | 0.50 |  0.72  |     183     |   73.10    |      0      |
|  Gen 26 | 49.85 | -276.37 | 0.51 |  0.72  |     168     |   75.29    |      0      |
|  Gen 27 | 50.58 | -278.47 | 0.49 |  0.72  |     172     |   74.27    |      0      |
|  Gen 28 | 50.15 | -274.33 | 0.51 |  0.72  |     167     |   75.15    |      0      |
|  Gen 29 | 50.15 | -270.50 | 0.52 |  0.72  |     166     |   75.15    |      0      |
|  Gen 30 | 49.42 | -279.00 | 0.51 |  0.71  |     189     |   72.37    |      0      |
|  Gen 31 | 50.29 | -273.07 | 0.51 |  0.71  |     173     |   74.42    |      0      |
|  Gen 32 | 49.85 | -275.00 | 0.51 |  0.71  |     168     |   75.29    |      0      |
|  Gen 33 | 50.15 | -278.90 | 0.49 |  0.71  |     172     |   74.42    |      0      |
|  Gen 34 | 49.56 | -278.90 | 0.50 |  0.71  |     164     |   75.88    |      0      |
|  Gen 35 | 49.56 | -272.93 | 0.52 |  0.71  |     166     |   75.73    |      0      |
|  Gen 36 | 49.71 | -269.03 | 0.53 |  0.71  |     166     |   75.73    |      0      |
|  Gen 37 | 50.73 | -274.27 | 0.48 |  0.71  |     177     |   74.12    |      0      |
|  Gen 38 | 50.29 | -272.57 | 0.50 |  0.71  |     161     |   76.17    |      0      |
|  Gen 39 | 48.83 | -276.57 | 0.52 |  0.71  |     173     |   74.42    |      0      |
|  Gen 40 | 50.00 | -270.57 | 0.51 |  0.71  |     176     |   73.98    |      0      |
|  Gen 41 | 50.44 | -266.90 | 0.51 |  0.71  |     176     |   73.98    |      0      |
|  Gen 42 | 50.88 | -269.23 | 0.49 |  0.71  |     182     |   72.95    |      0      |
|  Gen 43 | 49.56 | -274.23 | 0.50 |  0.71  |     156     |   77.19    |      0      |
|  Gen 44 | 50.15 | -278.13 | 0.47 |  0.71  |     181     |   73.39    |      0      |
|  Gen 45 | 50.58 | -264.87 | 0.51 |  0.71  |     166     |   75.73    |      0      |
|  Gen 46 | 49.12 | -273.53 | 0.51 |  0.71  |     166     |   75.44    |      0      |
|  Gen 47 | 49.56 | -269.40 | 0.51 |  0.71  |     155     |   77.19    |      0      |
|  Gen 48 | 49.71 | -278.33 | 0.48 |  0.71  |     166     |   75.58    |      0      |
|  Gen 49 | 48.98 | -271.97 | 0.52 |  0.71  |     166     |   75.58    |      0      |
|  Gen 50 | 48.68 | -278.97 | 0.50 |  0.71  |     169     |   75.00    |      0      |
| Natural | 51.17 | -279.80 | 0.59 |  N/A   |      0      |   100.00   |      0      |
+---------+-------+---------+------+--------+-------------+------------+-------------+
